ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
MDRRP,2020-06-30,2020-08-13,2024866.0,-1571603,82890157.0,19935490.0,-969457.0,16037073.0
MDRRP,2020-09-30,2020-11-13,2359639.0,-1285914,81577307.0,18525189.0,-680800.0,16037073.0
MDRRP,2020-12-31,2021-03-11,2396749.0,-3598799,79271772.0,14702100.0,-302576.0,16037073.0
MDRRP,2021-03-31,2021-05-14,2671853.0,-2277524,80130213.0,16615659.0,161668.0,16037073.0
MDRRP,2021-06-30,2021-08-10,2978261.0,-682963,97569190.0,28394355.0,759673.0,16037073.0
MDRRP,2021-09-30,2021-11-12,3038143.0,-872015,89823785.0,26818990.0,-561858.0,16037073.0
MDRRP,2021-12-31,2022-03-16,2784292.0,-531762,92547088.0,26349335.0,-63555.0,16037073.0
MDRRP,2022-03-31,2022-05-09,2903964.0,-989284,92192745.0,26162562.0,326804.0,16037073.0
MDRRP,2022-06-30,2022-08-09,2595901.0,-1014887,99943293.0,25116667.0,754264.0,17439947.0
MDRRP,2022-09-30,2022-11-09,2841073.0,-1754458,90109681.0,22985663.0,-59240.0,17439947.0
MDRRP,2022-12-31,2023-03-10,2750387.0,-1010612,87915404.0,22043385.0,-846506.0,18842821.0
