ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
MESA,2020-06-30,2020-08-10,73099000.0,3419000,1495313000.0,445494000.0,26207000.0,35299000.0
MESA,2020-09-30,2020-12-14,108040000.0,11375000,1501930000.0,457859000.0,69554000.0,35486000.0
MESA,2020-12-31,2021-02-09,150371000.0,14118000,1554817000.0,484297000.0,77500000.0,36647000.0
MESA,2021-03-31,2021-05-11,97280000.0,5689000,1519591000.0,490844000.0,-4187000.0,39432000.0
MESA,2021-06-30,2021-08-09,125157000.0,4276000,1525013000.0,494667000.0,47182000.0,39513000.0
MESA,2021-09-30,2021-12-10,130783000.0,-7495000,1456597000.0,488047000.0,-4773000.0,39780000.0
MESA,2021-12-31,2022-02-09,147757000.0,-14274000,1434495000.0,474474000.0,-15024000.0,35963000.0
MESA,2022-03-31,2022-05-09,123213000.0,-42783000,1353356000.0,432541000.0,2132000.0,36048000.0
MESA,2022-06-30,2022-08-08,134397000.0,-9985000,1320185000.0,423036000.0,-6754000.0,36183000.0
MESA,2022-09-30,2022-12-29,125634000.0,-115636000,1115602000.0,308174000.0,-42638000.0,36338000.0
MESA,2022-12-31,2023-02-09,147173000.0,-9090000,1159514000.0,299771000.0,-22774000.0,36378000.0
MESA,2023-03-31,2023-05-09,121834000.0,-35122000,1055357000.0,275217000.0,-80916000.0,39932000.0
MESA,2023-06-30,2023-08-14,114691000.0,-47560000,962002000.0,227898000.0,-51886000.0,40688000.0
MESA,2023-09-30,2024-01-26,114366000.0,-28345000,898467000.0,200036000.0,-43998000.0,40862000.0
MESA,2023-12-31,2024-05-24,118777000.0,-57850000,775633000.0,142612000.0,-54446000.0,39700000.0
MESA,2024-03-31,2024-06-17,131582000.0,11660000,706273000.0,154672000.0,-31709000.0,41068000.0
MESA,2024-06-30,2024-10-15,110793000.0,-19908000,664365000.0,134887000.0,-4477000.0,41217000.0
MESA,2024-09-30,2024-11-21,115257000.0,-24917000,596858000.0,110242000.0,-13145000.0,41322000.0
MESA,2024-12-31,2025-05-19,103233000.0,-114558000,383565000.0,-1423000.0,-127181000.0,39800000.0
MESA,2025-03-31,2025-05-20,94747000.0,-58631000,214952000.0,-62405000.0,-84584000.0,41334000.0
