ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
MGTX,2020-06-30,2020-08-06,2474000.0,-25418000,290611376.0,172765514.0,-15796000.0,36969682.0
MGTX,2020-09-30,2020-11-05,5092000.0,-6432000,293045723.0,179086247.0,-15098000.0,37223375.0
MGTX,2020-12-31,2021-03-11,3788000.0,-10461000,363697000.0,238559000.0,-39705000.0,40078749.0
MGTX,2021-03-31,2021-05-11,4595000.0,-23617000,339676000.0,220794000.0,4584000.0,43974395.0
MGTX,2021-06-30,2021-08-11,5116000.0,-20086000,326768000.0,205722000.0,-26836000.0,44137773.0
MGTX,2021-09-30,2021-11-10,6948000.0,-25945000,303336000.0,187839000.0,-29088000.0,44170299.0
MGTX,2021-12-31,2022-03-10,21043000.0,-9912000,320164000.0,185401000.0,-5541000.0,44276153.0
MGTX,2022-03-31,2022-05-12,5633000.0,-31045000,287693000.0,161284000.0,-20758000.0,44501314.0
MGTX,2022-06-30,2022-08-11,10759000.0,-33973000,252461000.0,141972000.0,-41807000.0,44668240.0
MGTX,2022-09-30,2022-11-10,4816000.0,-37284000,301412000.0,122670000.0,-30737000.0,44687635.0
MGTX,2022-12-31,2023-03-14,-5288000.0,-27313000,318237000.0,117738000.0,-24759000.0,46854239.0
MGTX,2023-03-31,2023-05-11,3334000.0,-30364000,288140000.0,90222000.0,-45997000.0,48638151.0
MGTX,2023-06-30,2023-08-10,3540000.0,-29581000,310263000.0,123527000.0,-33987000.0,55349534.0
MGTX,2023-09-30,2023-11-14,5103000.0,-44297000,267194000.0,91886000.0,-27978000.0,59526642.0
MGTX,2023-12-31,2024-03-15,2040000.0,20215000,326744000.0,138175000.0,-65725000.0,62431773.0
MGTX,2024-03-31,2024-05-09,697000.0,-20442000,309235000.0,121734000.0,-64081000.0,64065895.0
MGTX,2024-06-30,2024-08-12,282000.0,-48620000,266651000.0,80039000.0,-20785000.0,64376396.0
MGTX,2024-09-30,2024-11-13,10910000.0,-39330000,299488000.0,95736000.0,-26336000.0,71633150.0
MGTX,2024-12-31,2025-03-13,21390000.0,-39399000,269751000.0,67827000.0,-24494000.0,79213971.0
MGTX,2025-03-31,2025-05-13,1926000.0,-39981000,224014000.0,33099000.0,-38538000.0,79032341.0
