ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
MKC,2020-05-31,2020-06-25,1401100000.0,195900000,10576100000.0,3662300000.0,262100000.0,268600000.0
MKC,2020-08-31,2020-09-29,1430300000.0,206100000,10860700000.0,3946000000.0,212700000.0,269600000.0
MKC,2020-11-30,2021-01-28,1557900000.0,200700000,12089699999.0,3940000000.0,334900000.0,269600000.0
MKC,2021-02-28,2021-03-30,1481500000.0,161800000,12685100000.0,4164700000.0,-80800000.0,269900000.0
MKC,2021-05-31,2021-07-01,1556700000.0,183700000,12810500000.0,4340800000.0,196700000.0,270100000.0
MKC,2021-08-31,2021-09-30,1549400000.0,212400000,12884400000.0,4403100000.0,67100000.0,270000000.0
MKC,2021-11-30,2022-01-27,1730300000.0,197400000,12905800000.0,4425500000.0,367300000.0,269600000.0
MKC,2022-02-28,2022-03-29,1522400000.0,154900000,12940800000.0,4614200000.0,-25800000.0,269900000.0
MKC,2022-05-31,2022-06-29,1536800000.0,118500000,12957900000.0,4615100000.0,90700000.0,270500000.0
MKC,2022-08-31,2022-10-06,1595600000.0,222900000,12941000000.0,4606700000.0,32000000.0,270500000.0
MKC,2022-11-30,2023-01-26,1695700000.0,179500000,13124900000.0,4699200000.0,306200000.0,270200000.0
MKC,2023-02-28,2023-03-28,1565500000.0,139100000,13205400000.0,4887700000.0,41900000.0,269800000.0
MKC,2023-05-31,2023-06-29,1659200000.0,152100000,12908200000.0,4956900000.0,233700000.0,269800000.0
MKC,2023-08-31,2023-10-03,1684700000.0,170100000,12990100000.0,5070100000.0,197300000.0,270100000.0
MKC,2023-11-30,2024-01-25,1752800000.0,213800000,12862300000.0,5083500000.0,500500000.0,269500000.0
MKC,2024-02-29,2024-03-26,1602700000.0,166000000,12890100000.0,5257400000.0,76400000.0,269600000.0
MKC,2024-05-31,2024-06-27,1643200000.0,184200000,12987600000.0,5354200000.0,94800000.0,269700000.0
MKC,2024-08-31,2024-10-01,1679800000.0,223100000,13204900000.0,5451000000.0,102700000.0,269700000.0
MKC,2024-11-30,2025-01-23,1798000000.0,207700000,13070300000.0,5316800000.0,373100000.0,269400000.0
MKC,2025-02-28,2025-03-25,1605500000.0,162300000,12899800000.0,5449700000.0,78400000.0,269500000.0
