ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
MLM,2020-06-30,2020-07-28,1270600000.0,217600000,10226600000.0,5493600000.0,196900000.0,62300000.0
MLM,2020-09-30,2020-10-29,1321400000.0,294400000,10435400000.0,5758900000.0,262600000.0,62400000.0
MLM,2020-12-31,2021-02-19,1179600000.0,183000000,10580800000.0,5893300000.0,258300000.0,62400000.0
MLM,2021-03-31,2021-05-04,982400000.0,65100000,10659300000.0,5926700000.0,93800000.0,62500000.0
MLM,2021-06-30,2021-07-29,1377900000.0,225800000,11223100000.0,6128200000.0,166300000.0,62700000.0
MLM,2021-09-30,2021-11-02,1557300000.0,254600000,13786200000.0,6358200000.0,240300000.0,62600000.0
MLM,2021-12-31,2022-02-22,1496400000.0,156800000,14393000000.0,6537600000.0,257000000.0,62600000.0
MLM,2022-03-31,2022-05-03,1230800000.0,21500000,14241500000.0,6431100001.0,31100000.0,62700000.0
MLM,2022-06-30,2022-07-28,1641700000.0,366500000,14542799998.0,6772100000.0,-446200000.0,62500000.0
MLM,2022-09-30,2022-11-02,1811700000.0,295300000,14729700000.0,6937800000.0,220800000.0,62500000.0
MLM,2022-12-31,2023-02-24,1476800000.0,183800000,14993600000.0,7172800000.0,265300000.0,62300000.0
MLM,2023-03-31,2023-05-04,1354000000.0,120000000,14890900000.0,7177500000.0,9000000.0,62200000.0
MLM,2023-06-30,2023-07-27,1821000000.0,347000000,15246200000.0,7423400000.0,312000000.0,62100000.0
MLM,2023-09-30,2023-11-01,1994000000.0,417000000,14917800000.0,7804800000.0,286000000.0,62000000.0
MLM,2023-12-31,2024-02-23,1608000000.0,284000000,15125000000.0,8036000000.0,412000000.0,62100000.0
MLM,2024-03-31,2024-04-30,1251000000.0,1045000000,16240000000.0,8877000000.0,-1735000000.0,62000000.0
MLM,2024-06-30,2024-08-08,1764000000.0,294000000,16333000000.0,8840000000.0,-124000000.0,61600000.0
MLM,2024-09-30,2024-10-30,1642000000.0,363000000,16469000000.0,9171000000.0,324000000.0,61300000.0
MLM,2024-12-31,2025-02-21,2286000000.0,294000000,18170000000.0,9456000000.0,485000000.0,61500000.0
MLM,2025-03-31,2025-04-30,1353000000.0,116000000,17724000000.0,9084000000.0,-13000000.0,61000000.0
