ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
MNST,2020-06-30,2020-08-06,1093896000.0,311369000,5193813000.0,4221540000.0,225428000.0,1062382000.0
MNST,2020-09-30,2020-11-06,1246362000.0,347654000,5697683000.0,4629321000.0,489521000.0,1066526000.0
MNST,2020-12-31,2021-03-01,1196283000.0,471736000,6202716000.0,5160860000.0,401788000.0,1068512000.0
MNST,2021-03-31,2021-05-07,1243816000.0,315194000,6534366000.0,5459437000.0,160065000.0,1069964000.0
MNST,2021-06-30,2021-08-09,1461934000.0,403762000,7071543000.0,5905498000.0,402097000.0,1071530000.0
MNST,2021-09-30,2021-11-05,1410557000.0,337205000,7449408000.0,6244997000.0,333724000.0,1071830000.0
MNST,2021-12-31,2022-02-28,1425044000.0,321314000,7804784000.0,6566951000.0,203730000.0,1073996000.0
MNST,2022-03-31,2022-05-06,1518574000.0,294203000,8187459000.0,6866672000.0,-21848000.0,1071494000.0
MNST,2022-06-30,2022-08-05,1655260000.0,273360000,8175012000.0,6809178000.0,53437000.0,1069622000.0
MNST,2022-09-30,2022-11-04,1624286000.0,322387000,8204805000.0,6815760000.0,418464000.0,1069622000.0
MNST,2022-12-31,2023-03-01,1512931000.0,301674000,8293105000.0,7025041000.0,226806000.0,1066442000.0
MNST,2023-03-31,2023-05-05,1698930000.0,397444000,8844362000.0,7395360000.0,380987000.0,1059069000.0
MNST,2023-06-30,2023-08-04,1854961000.0,413871000,9263338000.0,7841464000.0,294859000.0,1060093000.0
MNST,2023-09-30,2023-11-06,1856028000.0,452694000,9314338000.0,7873149000.0,499109000.0,1059966000.0
MNST,2023-12-31,2024-02-29,1730108000.0,366979000,9686522000.0,8228744000.0,310594000.0,1052796000.0
MNST,2024-03-31,2024-05-07,1899098000.0,442049000,10098066000.0,8577789000.0,337908000.0,1051282000.0
MNST,2024-06-30,2024-08-08,1900597000.0,425369000,8060904000.0,5866323000.0,379401000.0,1037378000.0
MNST,2024-09-30,2024-11-08,1880973000.0,370919000,8053301000.0,5779400000.0,557350000.0,983171000.0
MNST,2024-12-31,2025-02-28,1812041000.0,270711000,7719089000.0,5957718000.0,350172000.0,980597000.0
MNST,2025-03-31,2025-05-09,1854558000.0,442993000,8227028000.0,6519439000.0,474348000.0,981282000.0
