ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
MPLN,2020-06-30,2020-08-06,206880000.0,-56246000,1107564339.0,1067100028.0,26944000.0,10392500.0
MPLN,2020-09-30,2020-11-04,223517000.0,-288402000,1107513145.0,1058442351.0,125978000.0,10392500.0
MPLN,2020-12-31,2021-02-04,255344000.0,-173322000,8283578000.0,2557865000.0,23582000.0,10392500.0
MPLN,2021-03-31,2021-05-14,254864000.0,45877000,8355251000.0,2376605000.0,152794000.0,16394589.0
MPLN,2021-06-30,2021-08-06,276272000.0,-46932000,8338826000.0,2335064000.0,14808000.0,16394589.0
MPLN,2021-09-30,2021-11-04,288212000.0,78197000,8278793000.0,2355336000.0,146626000.0,16322060.0
MPLN,2021-12-31,2022-02-25,298254000.0,24938000,8220407000.0,2344670000.0,5869000.0,16177003.0
MPLN,2022-03-31,2022-05-10,298046000.0,43978000,8275768000.0,2391476000.0,170390000.0,16322060.0
MPLN,2022-06-30,2022-08-05,290128000.0,13512000,8215821000.0,2408853000.0,21850000.0,16002434.0
MPLN,2022-09-30,2022-11-09,250453000.0,19736000,8192439000.0,2436982000.0,88226000.0,15996261.0
MPLN,2022-12-31,2023-03-01,241089000.0,-650138000,7371104000.0,1792984000.0,2163000.0,15571814.0
MPLN,2023-03-31,2023-05-10,236594000.0,209000,7215249000.0,1788276000.0,41114000.0,16022532.0
MPLN,2023-06-30,2023-08-03,237991000.0,-36370000,7136390000.0,1768520000.0,-24309000.0,16083483.0
MPLN,2023-09-30,2023-11-08,242804000.0,-24145000,7057819000.0,1749588000.0,49704000.0,16161095.0
MPLN,2023-12-31,2024-02-29,244135000.0,-31391000,6964687000.0,1709601000.0,-3641000.0,16300838.0
MPLN,2024-03-31,2024-05-09,234508000.0,-539689000,6366695000.0,1170729000.0,19172000.0,16158356.0
MPLN,2024-06-30,2024-08-02,233476000.0,-576727000,5742279000.0,603452000.0,-6974000.0,16116996.0
MPLN,2024-09-30,2024-11-06,230495000.0,-391450000,5319204000.0,207563000.0,41142000.0,16143520.0
MPLN,2024-12-31,2025-02-26,232145000.0,-137965000,5150827000.0,84022000.0,-63847000.0,16171152.0
MPLN,2025-03-31,2025-05-09,231330000.0,-71319000,5084524000.0,14825000.0,-68922000.0,16273439.0
