ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
MRNS,2020-06-30,2020-08-06,,-15675000,113443000.0,101145000.0,-16009000.0,6235656.0
MRNS,2020-09-30,2020-11-09,171000.0,-15659000,99526000.0,87423000.0,,30552947.0
MRNS,2020-12-31,2021-03-09,1547000.0,-17469000,150462000.0,137199000.0,,66875252.0
MRNS,2021-03-31,2021-05-17,1806000.0,-27141000,133859000.0,115334000.0,-16203000.0,36599701.0
MRNS,2021-06-30,2021-08-10,1905000.0,-23823000,124989000.0,95059000.0,-23099000.0,36659615.0
MRNS,2021-09-30,2021-11-09,10114000.0,-19507000,158873000.0,78494000.0,4736000.0,36744591.0
MRNS,2021-12-31,2022-03-24,1520000.0,-28305000,136840000.0,53486000.0,-22007000.0,36784777.0
MRNS,2022-03-31,2022-05-12,14186000.0,-19361000,140810000.0,40405000.0,-27741000.0,36890568.0
MRNS,2022-06-30,2022-08-11,1790000.0,-39433000,109377000.0,4803000.0,-34007000.0,37155917.0
MRNS,2022-09-30,2022-11-07,2340000.0,73290000,184841000.0,82004000.0,-30906000.0,37910511.0
MRNS,2022-12-31,2023-03-09,7162000.0,-34312000,259518000.0,116000000.0,-21993000.0,44333400.0
MRNS,2023-03-31,2023-05-11,10380000.0,-34730000,226817000.0,85085000.0,,51769685.0
MRNS,2023-06-30,2023-08-10,6081000.0,-31934000,201200000.0,57339000.0,,52551918.0
MRNS,2023-09-30,2023-11-07,7338000.0,-32972000,200806000.0,54537000.0,-25249000.0,53920109.0
MRNS,2023-12-31,2024-03-05,7190000.0,-41769000,170908000.0,16765000.0,-27026000.0,56744360.0
MRNS,2024-03-31,2024-05-08,7679000.0,-38669000,137350000.0,-16434000.0,,56851811.0
MRNS,2024-06-30,2024-08-13,8056000.0,-35828000,87083000.0,-47345000.0,-30879000.0,57064095.0
MRNS,2024-09-30,2024-11-12,8541000.0,-24225000,63624000.0,-66740000.0,-20567000.0,57229229.0
