ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
MSA,2020-06-30,2020-07-31,314438000.0,36066000,1752935000.0,748654000.0,56143000.0,39195000.0
MSA,2020-09-30,2020-10-30,304392000.0,28034000,1792665000.0,780103000.0,14511000.0,39260000.0
MSA,2020-12-31,2021-02-19,388248000.0,16314000,1919631000.0,847194000.0,79859000.0,39337000.0
MSA,2021-03-31,2021-04-29,308428000.0,36450000,1942762000.0,822890000.0,36034000.0,39420000.0
MSA,2021-06-30,2021-07-29,341289000.0,25186000,1963233000.0,848768000.0,27592000.0,39420000.0
MSA,2021-09-30,2021-10-29,340197000.0,21180000,2259452000.0,824177000.0,35554000.0,39430000.0
MSA,2021-12-31,2022-02-18,410267000.0,-61476000,2396396000.0,834388000.0,35399000.0,39430000.0
MSA,2022-03-31,2022-04-29,330692000.0,35542000,2415777000.0,860907000.0,16547000.0,39236000.0
MSA,2022-06-30,2022-07-28,372313000.0,47693000,2408447000.0,838070000.0,3624000.0,39523000.0
MSA,2022-09-30,2022-10-27,381694000.0,44906000,2387289000.0,842415000.0,54979000.0,39523000.0
MSA,2022-12-31,2023-02-16,443254000.0,51489000,2376976000.0,923741000.0,28847000.0,39438000.0
MSA,2023-03-31,2023-05-02,398262000.0,-150173000,2179670000.0,769746000.0,46910000.0,39224000.0
MSA,2023-06-30,2023-08-01,447299000.0,67090000,2199151000.0,831131000.0,87787000.0,39409000.0
MSA,2023-09-30,2023-10-25,446728000.0,65256000,2194335000.0,868726000.0,112143000.0,39450000.0
MSA,2023-12-31,2024-02-16,495357000.0,76410000,2170150000.0,966802000.0,147250000.0,39427000.0
MSA,2024-03-31,2024-04-30,413302000.0,58139000,2174330000.0,994754000.0,39667000.0,39556000.0
MSA,2024-06-30,2024-07-25,462463000.0,72234000,2243571000.0,1033647000.0,39035000.0,39541000.0
MSA,2024-09-30,2024-10-24,432679000.0,66648000,2241927000.0,1095345000.0,70094000.0,39495000.0
MSA,2024-12-31,2025-02-14,499697000.0,87946000,2205784000.0,1143319000.0,93877000.0,39548000.0
MSA,2025-03-31,2025-05-01,421340000.0,59605000,2235885000.0,1190145000.0,51067000.0,39501000.0
