ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
MSTR,2020-06-30,2020-07-28,110584000.0,3387000,833046000.0,458460000.0,-3049000.0,9741000.0
MSTR,2020-09-30,2020-10-27,127408000.0,-14229000,772905000.0,389292000.0,1776000.0,9616000.0
MSTR,2020-12-31,2021-02-12,131319000.0,2661000,1465612000.0,553045000.0,22833000.0,9348000.0
MSTR,2021-03-31,2021-04-29,122902000.0,-110020000,2443079000.0,365038000.0,62256000.0,9647000.0
MSTR,2021-06-30,2021-07-29,125351000.0,-299347000,2624359000.0,77419000.0,13077000.0,9746000.0
MSTR,2021-09-30,2021-10-28,127994000.0,-36136000,2986244000.0,461314000.0,13371000.0,9999000.0
MSTR,2021-12-31,2022-02-16,134515000.0,-89977000,3557124000.0,978958000.0,2423000.0,9344000.0
MSTR,2022-03-31,2022-05-03,119277000.0,-130751000,3638387000.0,862999000.0,43041000.0,11289000.0
MSTR,2022-06-30,2022-08-02,122073000.0,-1062298000,2568365000.0,-187068000.0,-21697000.0,11300000.0
MSTR,2022-09-30,2022-11-01,125360000.0,-27079000,2545286000.0,-200289000.0,-1786000.0,11308000.0
MSTR,2022-12-31,2023-02-01,132554000.0,-249669000,2410272000.0,-383120000.0,-18833000.0,11387000.0
MSTR,2023-03-31,2023-05-01,121915000.0,461193000,3026402000.0,443211000.0,36898000.0,11321000.0
MSTR,2023-06-30,2023-08-01,120400000.0,22243000,3363104000.0,819118000.0,-19111000.0,14221000.0
MSTR,2023-09-30,2023-11-01,129462000.0,-143441000,3373941000.0,840395000.0,-8850000.0,14221000.0
MSTR,2023-12-31,2024-02-15,124484000.0,89126000,4762528000.0,2164972000.0,837000.0,16566000.0
