ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
MTN,2020-07-31,2020-09-24,77209000.0,-153608000,5244232000.0,1531667000.0,-91961000.0,41325000.0
MTN,2020-10-31,2020-12-10,131786000.0,-153766000,5390524000.0,1375727000.0,81825000.0,40248000.0
MTN,2021-01-31,2021-03-11,684644000.0,147798000,6165833000.0,1686446000.0,309906000.0,40809000.0
MTN,2021-04-30,2021-06-07,889078000.0,274629000,6276637000.0,2026697000.0,73811000.0,40268000.0
MTN,2021-07-31,2021-09-23,204202000.0,-140811000,6251056000.0,1829068000.0,-45684000.0,40828000.0
MTN,2021-10-31,2021-12-09,175576000.0,-139332000,6290551000.0,1666460000.0,298891000.0,40828000.0
MTN,2022-01-31,2022-03-14,906535000.0,223391000,6369742000.0,1793684000.0,183584000.0,40448000.0
MTN,2022-04-30,2022-06-09,1176665000.0,372550000,6397294000.0,2065180000.0,128667000.0,40820000.0
MTN,2022-07-31,2022-09-28,267136000.0,-108686000,6318028000.0,1847484000.0,-27196000.0,40828000.0
MTN,2022-10-31,2022-12-08,279447000.0,-136971000,6280866000.0,1551718000.0,208892000.0,40305000.0
MTN,2023-01-31,2023-03-09,1101718000.0,208679000,6564962000.0,1777351000.0,190047000.0,40298000.0
MTN,2023-04-30,2023-06-08,1238431000.0,325006000,6199451000.0,1599497000.0,66685000.0,39724000.0
MTN,2023-07-31,2023-09-28,269768000.0,-130889000,5947754000.0,1335660000.0,-137007000.0,38713000.0
MTN,2023-10-31,2023-12-07,258565000.0,-175512000,5760016000.0,928180000.0,275120000.0,38220000.0
MTN,2024-01-31,2024-03-11,1077958000.0,219299000,5847664000.0,1150665000.0,165750000.0,38046000.0
MTN,2024-04-30,2024-06-06,1283282000.0,361995000,5808736000.0,1322032000.0,85033000.0,37936000.0
MTN,2024-07-31,2024-09-26,265386000.0,-174677000,5686573000.0,1024878000.0,-147741000.0,37627000.0
MTN,2024-10-31,2024-12-09,260275000.0,-173255000,5630849000.0,731275000.0,211731000.0,37535000.0
MTN,2025-01-31,2025-03-10,1137225000.0,244376000,5519907000.0,800866000.0,251406000.0,37425000.0
MTN,2025-04-30,2025-06-05,1295558000.0,392752000,5763049000.0,1235935000.0,84043000.0,37277000.0
