ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
MTRN,2020-06-30,2020-07-23,271468000.0,5803000,1041222000.0,604940000.0,10081000.0,20554000.0
MTRN,2020-09-30,2020-10-22,287171000.0,5471000,1084814000.0,611781000.0,28762000.0,20592000.0
MTRN,2020-12-31,2021-02-18,339689000.0,8066000,1057860000.0,655630000.0,622000.0,20882000.0
MTRN,2021-03-31,2021-04-29,354386000.0,16767000,1098272000.0,661336000.0,-15225000.0,20628000.0
MTRN,2021-06-30,2021-08-03,370999000.0,17868000,1141497000.0,681701000.0,2181000.0,20692000.0
MTRN,2021-09-30,2021-11-02,388028000.0,18156000,1182662000.0,697428000.0,-23392000.0,20657000.0
MTRN,2021-12-31,2022-02-17,397231000.0,19683000,1607479000.0,720440000.0,21754000.0,20651000.0
MTRN,2022-03-31,2022-04-28,449045000.0,14019000,1666908000.0,730964000.0,-33270000.0,20732000.0
MTRN,2022-06-30,2022-08-03,445295000.0,23255000,1703114000.0,749154000.0,17060000.0,20723000.0
MTRN,2022-09-30,2022-11-02,428191000.0,19952000,1702323000.0,766677000.0,-2995000.0,20780000.0
MTRN,2022-12-31,2023-02-16,434578000.0,28764000,1691979000.0,799990000.0,58666000.0,20805000.0
MTRN,2023-03-31,2023-05-03,442526000.0,25588000,1717984000.0,821994000.0,8303000.0,20887000.0
MTRN,2023-06-30,2023-08-02,398551000.0,24082000,1737711000.0,847123000.0,3159000.0,20896000.0
MTRN,2023-09-30,2023-11-01,403067000.0,26564000,1748597000.0,871968000.0,-11791000.0,20905000.0
MTRN,2023-12-31,2024-02-15,421043000.0,19468000,1762726000.0,885053000.0,43135000.0,20956000.0
MTRN,2024-03-31,2024-05-02,385287000.0,13409000,1805184000.0,889923000.0,-34771000.0,20973000.0
MTRN,2024-06-30,2024-08-06,425866000.0,19036000,1803879000.0,907085000.0,2505000.0,20914000.0
MTRN,2024-09-30,2024-10-30,436715000.0,22294000,1857018000.0,931895000.0,-6339000.0,20920000.0
MTRN,2024-12-31,2025-02-19,436871000.0,-48851000,1697632000.0,868881000.0,63302000.0,20905000.0
MTRN,2025-03-31,2025-05-01,420330000.0,17698000,1752357000.0,887929000.0,3447000.0,20913000.0
