ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
NATH,2020-06-30,2020-08-07,17686000.0,4000000,102163000.0,-65313000.0,2765000.0,4120000.0
NATH,2020-09-30,2020-11-06,21839000.0,3655000,106332000.0,-63075000.0,6024000.0,4115000.0
NATH,2020-12-31,2021-02-05,18030000.0,1359000,104563000.0,-63127000.0,-3477000.0,4115000.0
NATH,2021-03-31,2021-06-11,18284000.0,2061000,108809000.0,-62478000.0,5903000.0,4114000.0
NATH,2021-06-30,2021-08-06,31319000.0,5763000,114020000.0,-58126000.0,-98000.0,4115000.0
NATH,2021-09-30,2021-11-05,32878000.0,3545000,116513000.0,-55999000.0,8677000.0,4115000.0
NATH,2021-12-31,2022-02-04,25913000.0,2130000,114455000.0,-55301000.0,852000.0,4115000.0
NATH,2022-03-31,2022-06-10,24772000.0,2158000,78516000.0,-54988000.0,6410000.0,4115000.0
NATH,2022-06-30,2022-08-05,39720000.0,7137000,83517000.0,-50765000.0,527000.0,4113000.0
NATH,2022-09-30,2022-11-03,37497000.0,5958000,83973000.0,-47457000.0,8847000.0,4083000.0
NATH,2022-12-31,2023-02-02,26154000.0,3263000,81825000.0,-45965000.0,3433000.0,4116000.0
NATH,2023-03-31,2023-06-08,27414000.0,3265000,58610000.0,-44562000.0,6446000.0,4048000.0
NATH,2023-06-30,2023-08-03,41985000.0,7388000,65822000.0,-39224000.0,2075000.0,4088000.0
NATH,2023-09-30,2023-11-02,38744000.0,5711000,65592000.0,-35371000.0,9122000.0,4092000.0
NATH,2023-12-31,2024-02-01,28890000.0,2607000,42906000.0,-34979000.0,2156000.0,4081000.0
NATH,2024-03-31,2024-06-12,28991000.0,3910000,48858000.0,-32923000.0,6336000.0,4087000.0
NATH,2024-06-30,2024-08-08,44767000.0,9277000,58527000.0,-25501000.0,4952000.0,4089000.0
NATH,2024-09-30,2024-11-07,41109000.0,6030000,57703000.0,-21284000.0,9744000.0,4095000.0
NATH,2024-12-31,2025-02-06,31519000.0,4484000,48723000.0,-18991000.0,3583000.0,4093000.0
NATH,2025-03-31,2025-06-10,30787000.0,4235000,53476000.0,-16513000.0,6736000.0,4103000.0
