ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
NBSE,2020-06-30,2020-08-13,,-3799888,38155680.0,34683997.0,-3086156.0,1059669.0
NBSE,2020-09-30,2020-12-23,,-4700812,34444281.0,31294648.0,-3921636.0,49051.0
NBSE,2020-12-31,2021-02-11,,-4066431,30759090.0,28517248.0,-3974432.0,1158708.0
NBSE,2021-03-31,2021-05-14,,-5521569,27473364.0,23937787.0,-3729982.0,1158982.0
NBSE,2021-06-30,2021-08-13,,-8662869,69318829.0,60275696.0,-6823904.0,1504625.0
NBSE,2021-09-30,2021-12-23,,-7158432,64167593.0,54069773.0,-5783781.0,68265.0
NBSE,2021-12-31,2022-02-11,,-7728816,57043995.0,47134203.0,-5392322.0,1636286.0
NBSE,2022-03-31,2022-05-12,,-9924029,48806760.0,38163002.0,-8340824.0,1634163.0
NBSE,2022-06-30,2022-08-11,,-8491717,39996789.0,30312331.0,-8923736.0,1612933.0
NBSE,2022-09-30,2022-12-21,,-7627773,32693429.0,23191880.0,-6750318.0,1614067.0
NBSE,2022-12-31,2023-02-14,,-4369039,25583136.0,18223796.0,-5737692.0,1650752.0
NBSE,2023-03-31,2023-05-11,,-4093113,21458913.0,14448093.0,-3452858.0,1677418.0
NBSE,2023-06-30,2023-08-14,,-3446794,22333625.0,11246321.0,-3646647.0,1692567.0
