ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
NCSM,2020-12-31,2021-03-08,27383000.0,8570000,138678000.0,113486000.0,20490000.0,2370000.0
NCSM,2021-03-31,2021-05-04,28514000.0,-3397000,134454000.0,110051000.0,-1879000.0,2380000.0
NCSM,2021-06-30,2021-08-03,21461000.0,-5795000,132294000.0,105582000.0,2771000.0,2401000.0
NCSM,2021-09-30,2021-11-02,32411000.0,2796000,138501000.0,108319000.0,5467000.0,2445000.0
NCSM,2021-12-31,2022-03-08,36116000.0,1662000,142325000.0,110667000.0,4671000.0,2402000.0
NCSM,2022-03-31,2022-05-06,39112000.0,-1535000,138396000.0,109912000.0,-6348000.0,2414000.0
NCSM,2022-06-30,2022-08-02,27464000.0,-5481000,132697000.0,103967000.0,623000.0,2438000.0
NCSM,2022-09-30,2022-11-01,48870000.0,3935000,137148000.0,105424000.0,-4147000.0,2488000.0
NCSM,2022-12-31,2023-03-07,40186000.0,1979000,138599000.0,109262000.0,7257000.0,2438000.0
NCSM,2023-03-31,2023-05-09,43554000.0,-14969000,141486000.0,94816000.0,-2199000.0,2452000.0
NCSM,2023-06-30,2023-08-01,25391000.0,-32231000,137475000.0,64226000.0,75000.0,2476000.0
NCSM,2023-09-30,2023-10-31,38279000.0,4408000,141702000.0,68686000.0,-910000.0,2489000.0
NCSM,2023-12-31,2024-03-08,35247000.0,39639000,152032000.0,109393000.0,5889000.0,2485000.0
NCSM,2024-03-31,2024-05-02,43858000.0,2070000,140925000.0,111479000.0,-2064000.0,2539000.0
NCSM,2024-06-30,2024-08-01,29690000.0,-3095000,139365000.0,109039000.0,5762000.0,2586000.0
NCSM,2024-09-30,2024-10-31,44006000.0,4147000,145843000.0,114110000.0,-2339000.0,2588000.0
NCSM,2024-12-31,2025-03-10,45003000.0,3471000,152812000.0,116109000.0,10588000.0,2647000.0
NCSM,2025-03-31,2025-05-01,50005000.0,4056000,155118000.0,120836000.0,-2096000.0,2686000.0
