ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
NEE,2020-06-30,2020-07-24,4204000000.0,1275000000,121961000000.0,41865000000.0,18000000.0,1967200000.0
NEE,2020-09-30,2020-10-23,4785000000.0,1229000000,126382000000.0,42227000000.0,2067000000.0,1968800000.0
NEE,2020-12-31,2021-02-12,4395000000.0,-5000000,127684000000.0,33707000000.0,-1775000000.0,1972400000.0
NEE,2021-03-31,2021-04-23,3726000000.0,1666000000,132441000000.0,45730000000.0,-227000000.0,1973000000.0
NEE,2021-06-30,2021-07-26,3927000000.0,256000000,135013000000.0,45114000000.0,453000000.0,1973000000.0
NEE,2021-09-30,2021-10-25,4370000000.0,447000000,139163000000.0,44726000000.0,1010000000.0,1975000000.0
NEE,2021-12-31,2022-02-18,5046000000.0,1204000000,140912000000.0,45669000000.0,-1238000000.0,1975000000.0
NEE,2022-03-31,2022-04-22,2890000000.0,-451000000,144945000000.0,32787000000.0,-318000000.0,1975000000.0
NEE,2022-06-30,2022-07-27,5183000000.0,1380000000,151770000000.0,33245000000.0,653000000.0,1975000000.0
NEE,2022-09-30,2022-11-03,6719000000.0,1696000000,156409000000.0,46746000000.0,460000000.0,1975000000.0
NEE,2022-12-31,2023-02-17,6164000000.0,1522000000,158935000000.0,49436000000.0,-2052000000.0,1963800000.0
NEE,2023-03-31,2023-04-26,6716000000.0,2086000000,165357000000.0,52979000000.0,-574000000.0,1972200000.0
NEE,2023-06-30,2023-07-26,7349000000.0,2795000000,168275000000.0,54376000000.0,646000000.0,2027000000.0
NEE,2023-09-30,2023-11-07,7172000000.0,1219000000,171674000000.0,56568000000.0,1023000000.0,2036000000.0
NEE,2023-12-31,2024-02-16,6878000000.0,1210000000,177489000000.0,59024000000.0,843000000.0,2088000000.0
NEE,2024-03-31,2024-04-23,5731000000.0,2268000000,179950000000.0,59389000000.0,749000000.0,2055200000.0
NEE,2024-06-30,2024-07-24,6069000000.0,1622000000,184724000000.0,59436000000.0,1895000000.0,2058200000.0
NEE,2024-09-30,2024-10-23,7567000000.0,1852000000,186013000000.0,59538000000.0,2297000000.0,2061400000.0
NEE,2024-12-31,2025-02-14,5385000000.0,1203000000,190144000000.0,60861000000.0,204000000.0,2062000000.0
NEE,2025-03-31,2025-04-23,6247000000.0,837000000,194264000000.0,60366000000.0,421000000.0,2060700000.0
