ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
NEOG,2020-05-31,2020-07-30,109074000.0,16347000,797182000.0,725177000.0,17898000.0,105664000.0
NEOG,2020-08-31,2020-09-30,109325000.0,15860000,821592000.0,751546000.0,20886000.0,106570000.0
NEOG,2020-11-30,2020-12-29,115000000.0,15885000,845626000.0,777395000.0,15546000.0,106808000.0
NEOG,2021-02-28,2021-03-31,116709000.0,13377000,880216000.0,807683000.0,3295000.0,107390000.0
NEOG,2021-05-31,2021-07-30,127425000.0,15760000,920192000.0,840377000.0,14650000.0,106768000.0
NEOG,2021-08-31,2021-09-30,128305000.0,17077000,932106000.0,855363000.0,21915000.0,108109000.0
NEOG,2021-11-30,2021-12-30,130517000.0,10828000,967934000.0,865476000.0,13907000.0,108122000.0
NEOG,2022-02-28,2022-04-01,128244000.0,5443000,981205000.0,875544000.0,-65000.0,108122000.0
NEOG,2022-05-31,2022-07-27,140093000.0,14959000,992929000.0,887374000.0,7852000.0,108020000.0
NEOG,2022-08-31,2022-09-30,132349000.0,5209000,977405000.0,883798000.0,-27139000.0,107857000.0
NEOG,2022-11-30,2023-01-09,230033000.0,-41841000,4563242000.0,3106263000.0,-30226000.0,216134000.0
NEOG,2023-02-28,2023-04-04,218255000.0,8190000,4508764000.0,3125555000.0,-32144000.0,216399003.0
NEOG,2023-05-31,2023-08-15,241810000.0,5572000,4554432000.0,3134217000.0,65606000.0,215334642.0
NEOG,2023-08-31,2023-10-10,228987000.0,1503000,4561105000.0,3146175000.0,-7580000.0,216846106000.0
NEOG,2023-11-30,2024-01-09,229629000.0,-3487000,4602415000.0,3147567000.0,-8673000.0,216410493.0
NEOG,2024-02-29,2024-04-09,228812000.0,-2022000,4582492000.0,3146174000.0,-62335000.0,216597777.0
NEOG,2024-05-31,2024-07-30,236794000.0,-5415000,4548833000.0,3144142000.0,2539000.0,216481878.0
NEOG,2024-08-31,2024-10-10,216964000.0,-12609000,4503173000.0,3135192000.0,-51901000.0,216695348.0
NEOG,2024-11-30,2025-01-15,231258000.0,-456282000,4054092000.0,2669070000.0,23096000.0,216813788.0
NEOG,2025-02-28,2025-04-09,221000000.0,-10900000,4036336000.0,2660347000.0,-12995000.0,217031907.0
