ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
NERV,2020-06-30,2020-08-03,41175600.0,29529376,66166650.0,56944021.0,,5034759.0
NERV,2020-09-30,2020-11-02,,-8112613,65220710.0,58022903.0,,5239740.0
NERV,2020-12-31,2021-03-08,0.0,-7324827,57626209.0,52662601.0,,5286737.0
NERV,2021-03-31,2021-05-12,,-8804733,111832378.0,45373932.0,,5340196.0
NERV,2021-06-30,2021-08-02,,-10589163,105324490.0,36168829.0,,5340196.0
NERV,2021-09-30,2021-11-08,,-9205407,97559049.0,28077948.0,,5340196.0
NERV,2021-12-31,2022-03-01,,-21306649,77121918.0,7975643.0,,5340196.0
NERV,2022-03-31,2022-05-04,,-9764429,70617671.0,-736130.0,,5340196.0
NERV,2022-06-30,2022-08-09,,-8717714,64959298.0,-8382244.0,,5340196.0
NERV,2022-09-30,2022-11-09,,-6900476,59759109.0,-14245846.0,,5340193.0
NERV,2022-12-31,2023-03-08,,-6726057,55087233.0,-20024219.0,-4126402.0,5340194.0
NERV,2023-03-31,2023-05-15,,-6970412,51594791.0,-26618172.0,,5340193.0
NERV,2023-06-30,2023-08-01,,-6192036,67138665.0,-12510901.0,,5511163.0
NERV,2023-09-30,2023-11-07,,-7820446,63130236.0,-20046095.0,,7568981.0
NERV,2023-12-31,2024-02-22,,-9022459,56899750.0,-28457490.0,,7605151.0
NERV,2024-03-31,2024-05-01,,-8568805,50510415.0,-36587446.0,,7568981.0
NERV,2024-06-30,2024-08-06,,-8233487,46290837.0,-44491615.0,,7568981.0
NERV,2024-09-30,2024-11-05,,22513205,42812338.0,-21670702.0,,7568981.0
NERV,2024-12-31,2025-02-25,,-4272048,37143744.0,-25693100.0,,7560251.0
NERV,2025-03-31,2025-05-13,,-3752972,32798326.0,-29148843.0,,7568981.0
