ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
NLCP,2021-06-30,2021-09-09,6616000.0,2738000,362432000.0,349109000.0,-36734000.0,21235914.0
NLCP,2021-09-30,2021-11-12,8048000.0,2697000,451539000.0,441443000.0,5931000.0,19555867.0
NLCP,2021-12-31,2022-03-18,8975000.0,4336000,460883000.0,439335000.0,-1382000.0,17566470.0
NLCP,2022-03-31,2022-05-12,10166000.0,5017000,455937000.0,437674000.0,,21931352.0
NLCP,2022-06-30,2022-08-10,10513000.0,3758000,457000000.0,434323000.0,-25930000.0,21732289.0
NLCP,2022-09-30,2022-11-10,12078000.0,6510000,454622000.0,433163000.0,7794000.0,21802487.0
NLCP,2022-12-31,2023-03-09,12243000.0,6691000,454249000.0,430938000.0,11934000.0,21777028.0
NLCP,2023-03-31,2023-05-10,11416000.0,5868000,448456000.0,428111000.0,7887000.0,21797316.0
NLCP,2023-06-30,2023-08-09,11376000.0,5797000,445437000.0,425176000.0,9977000.0,21743071.0
NLCP,2023-09-30,2023-11-09,11491000.0,5958000,435142000.0,415470000.0,9389000.0,21582314.0
NLCP,2023-12-31,2024-03-11,13021000.0,6965000,433292000.0,411957000.0,12481000.0,21073203.0
