ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
NN,2021-12-31,2022-03-23,20000.0,-46201000,136823000.0,99957000.0,,72200.0
NN,2022-03-31,2022-05-12,1199000.0,-9711000,136138000.0,96938000.0,-6268000.0,100868.0
NN,2022-06-30,2022-08-10,1421000.0,827000,123949000.0,104541000.0,-10848000.0,102381.0
NN,2022-09-30,2022-11-10,503000.0,-18730000,113876000.0,92441000.0,,101397000.0
NN,2022-12-31,2023-03-30,803000.0,-12502000,123788000.0,103864000.0,-14874000.0,302517061.0
NN,2023-03-31,2023-05-10,830000.0,-16349000,117013000.0,92520000.0,-8283000.0,106405.0
NN,2023-06-30,2023-08-09,800000.0,-15770000,161468000.0,95078000.0,-9348000.0,106749.0
NN,2023-09-30,2023-11-08,1027000.0,-23220000,173121000.0,84105000.0,,108045000.0
NN,2023-12-31,2024-03-13,1205000.0,-16396000,162158000.0,80096000.0,,323629846.0
NN,2024-03-31,2024-05-08,1046000.0,-31610000,165630000.0,57269000.0,-7017000.0,111061.0
NN,2024-06-30,2024-08-07,1105000.0,-24390000,172335000.0,63849000.0,-12443000.0,115210.0
NN,2024-09-30,2024-11-13,1607000.0,-13609000,171672000.0,65571000.0,-6782000.0,126429.0
NN,2024-12-31,2025-03-12,1911000.0,-32270000,161740000.0,50121000.0,-12116000.0,485647300.0
NN,2025-03-31,2025-05-09,1539000.0,-58579000,268606000.0,6573000.0,-12209000.0,131104000.0
