ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
NNVC,2020-06-30,2020-10-13,,-1874575,23914339.0,21757962.0,-1712867.0,8249961.0
NNVC,2020-09-30,2020-11-16,,-2311233,31848180.0,29982279.0,-2270930.0,10487601.0
NNVC,2020-12-31,2021-02-16,,-2330054,28085350.0,27746042.0,-2323965.0,10666056.0
NNVC,2021-03-31,2021-05-14,,-2108030,32761125.0,31889781.0,-1545365.0,10953052.0
NNVC,2021-06-30,2021-10-12,,-2072872,30262313.0,29911167.0,-2312341.0,11497111.0
NNVC,2021-09-30,2021-11-15,,-2613068,29178896.0,28309429.0,-748544.0,11515279.0
NNVC,2021-12-31,2022-02-14,,-1921134,26809591.0,26465306.0,-2299527.0,11525304.0
NNVC,2022-03-31,2022-05-16,,-1792664,25144577.0,24757846.0,-1694465.0,11540926.0
NNVC,2022-06-30,2022-10-13,,-1779997,23494862.0,23082025.0,-1473066.0,11557283.0
NNVC,2022-09-30,2022-11-14,,-1570642,22082335.0,21563977.0,-1077364.0,11592367.0
NNVC,2022-12-31,2023-02-14,,-1745134,20334963.0,19870371.0,-1445861.0,11610303.0
NNVC,2023-03-31,2023-05-15,,-1702804,18576799.0,18228055.0,-1797388.0,11636041.0
NNVC,2023-06-30,2023-10-13,,-3569993,16899880.0,14865630.0,-1501150.0,11666169.0
NNVC,2023-09-30,2023-11-14,,-1968746,15416821.0,12968510.0,-1179985.0,11718791.0
NNVC,2023-12-31,2024-02-14,,-2114937,13402210.0,12451136.0,-1724449.0,11745906.0
NNVC,2024-03-31,2024-05-15,,-1854476,11464907.0,10651570.0,-1988134.0,11779579.0
NNVC,2024-06-30,2024-09-27,,-2355987,12822853.0,11464077.0,-1579499.0,12239940.0
NNVC,2024-09-30,2024-11-14,,-3126811,11740497.0,10107791.0,-2641627.0,13715959.0
NNVC,2024-12-31,2025-02-14,,-2027491,11570643.0,10386579.0,-2190945.0,14572042.0
NNVC,2025-03-31,2025-05-15,,-2216783,10031960.0,8833049.0,-1990965.0,16026318.0
