ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
NOTE,2022-03-31,2022-05-16,26071000.0,-28351000,175690994.0,152926954.0,-12331000.0,1562464.0
NOTE,2022-06-30,2022-08-22,27174000.0,-38360000,175577276.0,150269265.0,-10791000.0,1584397.0
NOTE,2022-09-30,2022-11-14,29071000.0,-109002000,450381000.0,181004000.0,-43236000.0,8016453.0
NOTE,2022-12-31,2023-03-28,31449000.0,-42544000,433157000.0,144690000.0,-17634000.0,11008959.0
NOTE,2023-03-31,2023-05-15,31529000.0,-19273000,440999000.0,140434000.0,-14656000.0,11085784.0
NOTE,2023-06-30,2023-08-09,32842000.0,-30973000,422960000.0,93720000.0,-9597000.0,11171956.0
NOTE,2023-09-30,2023-11-14,34009000.0,-14467000,400863000.0,83569000.0,-13605000.0,10731747.0
NOTE,2023-12-31,2024-03-15,34265000.0,-50748000,370561000.0,43459000.0,-5535000.0,10793029.0
NOTE,2024-03-31,2024-05-10,32112000.0,50599000,357760000.0,106096000.0,1062000.0,12164056.0
NOTE,2024-06-30,2024-08-08,29246000.0,-12764000,346265000.0,106892000.0,-6470000.0,11196112.0
NOTE,2024-09-30,2024-11-12,29439000.0,-14935000,337949000.0,98517000.0,-5404000.0,11249673.0
NOTE,2024-12-31,2025-04-01,29469000.0,-13383000,326197000.0,97831000.0,-3370000.0,12407800.0
NOTE,2025-03-31,2025-05-13,27511000.0,-4250000,299685000.0,101416000.0,1304000.0,12602397.0
