ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
NOVT,2020-06-30,2020-08-06,144728000.0,11660000,861027000.0,431898000.0,31496000.0,35579000.0
NOVT,2020-09-30,2020-11-10,142929000.0,8258000,857534000.0,451249000.0,39590000.0,35688000.0
NOVT,2020-12-31,2021-03-01,147498000.0,12656000,865179000.0,476809000.0,43193000.0,35788000.0
NOVT,2021-03-31,2021-05-11,162584000.0,11310000,852254000.0,476123000.0,20000000.0,35789000.0
NOVT,2021-06-30,2021-08-10,167523000.0,11664000,877945000.0,493064000.0,23371000.0,35789000.0
NOVT,2021-09-30,2021-11-09,177726000.0,13603000,1210237000.0,500113000.0,7782000.0,35764000.0
NOVT,2021-12-31,2022-03-01,198960000.0,13754000,1227883000.0,521291000.0,23696000.0,35764000.0
NOVT,2022-03-31,2022-05-10,204216000.0,18820000,1206164000.0,534693000.0,5039000.0,35811000.0
NOVT,2022-06-30,2022-08-09,215356000.0,17479000,1205843000.0,532169000.0,18266000.0,35811000.0
NOVT,2022-09-30,2022-11-08,222958000.0,22490000,1207531000.0,542202000.0,11477000.0,35928000.0
NOVT,2022-12-31,2023-03-01,218373000.0,15262000,1241212000.0,577586000.0,36491000.0,35909000.0
NOVT,2023-03-31,2023-05-09,219126000.0,18265000,1225815000.0,598017000.0,6625000.0,35999000.0
NOVT,2023-06-30,2023-08-08,229464000.0,20879000,1232722000.0,626030000.0,22871000.0,36032000.0
NOVT,2023-09-30,2023-11-07,221503000.0,21223000,1194277000.0,644856000.0,37846000.0,36041000.0
NOVT,2023-12-31,2024-02-28,211569000.0,12511000,1226056000.0,673460000.0,32841000.0,36052000.0
NOVT,2024-03-31,2024-05-07,230916000.0,14676000,1410592000.0,681715000.0,26414000.0,36127000.0
NOVT,2024-06-30,2024-08-06,235864000.0,13755000,1398574000.0,701992000.0,36158000.0,36092000.0
NOVT,2024-09-30,2024-11-05,244405000.0,19192000,1418823000.0,742195000.0,19465000.0,36129000.0
NOVT,2024-12-31,2025-02-25,238060000.0,16464000,1388511000.0,745698000.0,59486000.0,36148000.0
NOVT,2025-03-31,2025-05-06,233366000.0,21208000,1385456000.0,769755000.0,30431000.0,36130000.0
