ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
NRP,2022-12-31,2023-02-03,80913000.0,63218000,877131000.0,594080000.0,68563000.0,19653000.0
NRP,2023-03-31,2023-05-04,79869000.0,79275000,835668000.0,556251000.0,72801000.0,17812000.0
NRP,2023-06-30,2023-08-04,64277000.0,70334000,820259000.0,444883000.0,81347000.0,17812000.0
NRP,2023-09-30,2023-11-03,73112000.0,63846000,815209000.0,463288000.0,78087000.0,17812000.0
NRP,2023-12-31,2024-03-07,76398000.0,64980000,797876000.0,547135000.0,75784000.0,17812000.0
NRP,2024-03-31,2024-05-07,70799000.0,56213000,778182000.0,471818000.0,73976000.0,17812000.0
NRP,2024-06-30,2024-08-07,57252000.0,46064000,789558000.0,489839000.0,49344000.0,17812000.0
NRP,2024-09-30,2024-11-05,52217000.0,38595000,789865000.0,508302000.0,54144000.0,17812000.0
NRP,2024-12-31,2025-02-28,64759000.0,42772000,772907000.0,551108000.0,66183000.0,17812000.0
NRP,2025-03-31,2025-05-06,55681000.0,40253000,772473000.0,564357000.0,34532000.0,17812000.0
