ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
NS,2020-06-30,2020-08-07,339540000.0,29766000,5836198000.0,2054859000.0,78938000.0,109194722.0
NS,2020-09-30,2020-11-06,362591000.0,-96640000,5862306000.0,1887710000.0,84338000.0,109195358.0
NS,2020-12-31,2021-02-25,386642000.0,15532000,5817018000.0,1831501000.0,86140000.0,109493952.0
NS,2021-03-31,2021-05-07,361646000.0,42257000,5643872000.0,1802865000.0,105324000.0,109506222.0
NS,2021-06-30,2021-08-06,427093000.0,63383000,5645980000.0,1795438000.0,22023000.0,109506222.0
NS,2021-09-30,2021-11-05,412345000.0,-124933000,5405737000.0,1596998000.0,149125000.0,109532381.0
NS,2021-12-31,2022-02-24,417416000.0,57518000,5156332000.0,1598264000.0,-100326000.0,109532381.0
NS,2022-03-31,2022-05-06,409863000.0,12312000,5129925000.0,1543283000.0,113421000.0,109532381.0
NS,2022-06-30,2022-08-05,430157000.0,59199000,5024661000.0,1570391000.0,55942000.0,110306641.0
NS,2022-09-30,2022-11-08,413243000.0,59633000,5002980000.0,1556083000.0,151591000.0,110310921.0
NS,2022-12-31,2023-02-23,429960000.0,91603000,4973686000.0,1349286000.0,71423000.0,111214881.0
NS,2023-03-31,2023-05-05,393867000.0,105936000,4923714000.0,1382705000.0,79689000.0,110341206.0
NS,2023-06-30,2023-08-04,378334000.0,46141000,4890415000.0,1180810000.0,59679000.0,110905471.0
NS,2023-09-30,2023-11-03,410300000.0,51195000,4912296000.0,1042124000.0,107546000.0,110905471.0
NS,2023-12-31,2024-02-22,451686000.0,70391000,4896392000.0,1046281000.0,70546000.0,110905471.0
NS,2024-03-31,2024-04-29,390827000.0,42742000,4862125000.0,1018863000.0,99586000.0,110905471.0
