ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
NUS,2020-06-30,2020-08-06,612366000.0,41851000,1794493000.0,792012000.0,87749000.0,51925000.0
NUS,2020-09-30,2020-11-05,703347000.0,56307000,1816711000.0,827473000.0,98249000.0,52243000.0
NUS,2020-12-31,2021-02-11,748193000.0,73467000,1957076000.0,894271000.0,79680000.0,51791000.0
NUS,2021-03-31,2021-05-05,677026000.0,47430000,1950099000.0,871474000.0,-38229000.0,52172000.0
NUS,2021-06-30,2021-08-05,704055000.0,59338000,2049980000.0,917826000.0,3239000.0,51557000.0
NUS,2021-09-30,2021-11-04,641152000.0,49729000,1974409000.0,936477000.0,16679000.0,51260000.0
NUS,2021-12-31,2022-02-16,673436000.0,-9231000,1906480000.0,912772000.0,91278000.0,50051000.0
NUS,2022-03-31,2022-05-05,604899000.0,38716000,1892249000.0,934200000.0,-2738000.0,50801000.0
NUS,2022-06-30,2022-08-05,560615000.0,34237000,1900901000.0,941035000.0,37016000.0,50960000.0
NUS,2022-09-30,2022-11-03,537805000.0,-25390000,1763172000.0,841934000.0,2985000.0,50199000.0
NUS,2022-12-31,2023-02-16,522340000.0,57215000,1820970000.0,897296000.0,11743000.0,50140000.0
NUS,2023-03-31,2023-05-04,481462000.0,11376000,1824645000.0,892970000.0,-33564000.0,50058000.0
NUS,2023-06-30,2023-08-02,500257000.0,26892000,1893776000.0,895345000.0,20810000.0,50161000.0
NUS,2023-09-30,2023-11-02,498772000.0,-36955000,1793091000.0,822187000.0,39121000.0,49859000.0
NUS,2023-12-31,2024-02-15,488640000.0,7282000,1808626000.0,821968000.0,33782000.0,49362000.0
NUS,2024-03-31,2024-05-09,417306000.0,-533000,1741915000.0,810206000.0,-8963000.0,49538000.0
NUS,2024-06-30,2024-08-09,439081000.0,-118258000,1585972000.0,686164000.0,43084000.0,49688000.0
NUS,2024-09-30,2024-11-08,430145000.0,8302000,1582895000.0,706875000.0,22836000.0,49733000.0
NUS,2024-12-31,2025-02-14,445552000.0,-36105000,1468914000.0,651455000.0,13202000.0,49715000.0
NUS,2025-03-31,2025-05-09,364490000.0,107515000,1391411000.0,753969000.0,-13195000.0,50328000.0
