ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
NVAX,2020-06-30,2020-08-10,35538000.0,-17521000,932227000.0,384348000.0,111872000.0,58618000.0
NVAX,2020-09-30,2020-11-10,157024000.0,-197310000,944020000.0,306262000.0,-15223000.0,61554000.0
NVAX,2020-12-31,2021-03-01,279659000.0,-177564000,1582479000.0,627209000.0,-170580000.0,65623000.0
NVAX,2021-03-31,2021-05-10,447229000.0,-222719000,2608366000.0,1039127000.0,649304000.0,73035000.0
NVAX,2021-06-30,2021-08-05,298017000.0,-352317000,2749587000.0,745562000.0,129261000.0,74136000.0
NVAX,2021-09-30,2021-11-05,178844000.0,-322431000,2565941000.0,461336000.0,-154333000.0,74745000.0
NVAX,2021-12-31,2022-03-01,222200000.0,-846284000,2576753000.0,-351673000.0,-355787000.0,75684000.0
NVAX,2022-03-31,2022-05-10,703971000.0,203408000,2834875000.0,65324000.0,-105336000.0,75670000.0
NVAX,2022-06-30,2022-08-09,185925000.0,-510485000,2622993000.0,-416950000.0,-195479000.0,78143000.0
NVAX,2022-09-30,2022-11-09,734577000.0,-168613000,2267437000.0,-565985000.0,-63339000.0,78274000.0
NVAX,2022-12-31,2023-02-28,357399000.0,-182249000,2258679000.0,-634078000.0,-140839000.0,65513000.0
NVAX,2023-03-31,2023-05-09,80951000.0,-293905000,1542699000.0,-895582000.0,-345394000.0,86158000.0
NVAX,2023-06-30,2023-08-08,424426000.0,58008000,1685048000.0,-754519000.0,-178911000.0,104065000.0
NVAX,2023-09-30,2023-11-09,186986000.0,-130776000,1657157000.0,-678350000.0,-57813000.0,103429000.0
NVAX,2023-12-31,2024-02-28,291342000.0,-178389000,1797490000.0,-716927000.0,-185620000.0,124123000.0
NVAX,2024-03-31,2024-05-10,93855000.0,-147550000,1353534000.0,-867084000.0,-90433000.0,124387000.0
NVAX,2024-06-30,2024-08-08,415484000.0,162381000,1818646000.0,-431706000.0,311394000.0,165855000.0
NVAX,2024-09-30,2024-11-12,84512000.0,-121300000,1712483000.0,-526436000.0,-146186000.0,160049000.0
NVAX,2024-12-31,2025-02-27,88311000.0,-81030000,1560418000.0,-623841000.0,-363874000.0,160416000.0
NVAX,2025-03-31,2025-05-08,666655000.0,518646000,1292992000.0,-75643000.0,-186722000.0,177625000.0
