ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
NWL,2020-06-30,2020-08-05,2111000000.0,78000000,14257000000.0,3516000000.0,73000000.0,424700000.0
NWL,2020-09-30,2020-10-30,2699000000.0,304000000,14720000000.0,3750000000.0,624000000.0,425400000.0
NWL,2020-12-31,2021-02-19,2689000000.0,131000000,14700000000.0,3900000000.0,511000000.0,422500000.0
NWL,2021-03-31,2021-04-30,2288000000.0,89000000,14340000000.0,3861000000.0,-79000000.0,427600000.0
NWL,2021-06-30,2021-07-30,2709000000.0,197000000,14620000000.0,4011000000.0,41000000.0,427600000.0
NWL,2021-09-30,2021-10-29,2787000000.0,190000000,14520000000.0,4057000000.0,347000000.0,428500000.0
NWL,2021-12-31,2022-02-14,2805000000.0,146000000,14269000000.0,4158000000.0,286000000.0,430300000.0
NWL,2022-03-31,2022-04-29,2388000000.0,228000000,14204000000.0,3980000000.0,-342000000.0,428300000.0
NWL,2022-06-30,2022-07-29,2534000000.0,199000000,14448000000.0,3947000000.0,-248000000.0,415700000.0
NWL,2022-09-30,2022-10-28,2252000000.0,19000000,14678000000.0,3776000000.0,-198000000.0,414600000.0
NWL,2022-12-31,2023-02-15,2285000000.0,-249000000,13262000000.0,3519000000.0,204000000.0,411000000.0
NWL,2023-03-31,2023-04-28,1805000000.0,-102000000,13276000000.0,3333000000.0,-160000000.0,413900000.0
NWL,2023-06-30,2023-07-28,2204000000.0,18000000,13020000000.0,3315000000.0,295000000.0,415300000.0
NWL,2023-09-30,2023-10-27,2048000000.0,-218000000,12572000000.0,3126000000.0,335000000.0,414200000.0
NWL,2023-12-31,2024-02-21,2076000000.0,-86000000,12163000000.0,3112000000.0,176000000.0,414100000.0
NWL,2024-03-31,2024-04-26,1653000000.0,-9000000,12100000000.0,3076000000.0,-27000000.0,417600000.0
NWL,2024-06-30,2024-07-26,2033000000.0,45000000,12048000000.0,3080000000.0,-21000000.0,418200000.0
NWL,2024-09-30,2024-10-25,1947000000.0,-198000000,11773000000.0,2860000000.0,231000000.0,416000000.0
NWL,2024-12-31,2025-02-14,1949000000.0,-54000000,11004000000.0,2751000000.0,54000000.0,416100000.0
NWL,2025-03-31,2025-04-30,1566000000.0,-37000000,11279000000.0,2690000000.0,-272000000.0,422700000.0
