ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
NXTC,2020-06-30,2020-08-06,,-14508000,333489000.0,321917000.0,-15243000.0,2292260.0
NXTC,2020-09-30,2020-11-05,,-16367000,316078000.0,307339000.0,-17546000.0,2294726.0
NXTC,2020-12-31,2021-03-04,0.0,-15461000,306644000.0,293721000.0,-7258000.0,2141995.0
NXTC,2021-03-31,2021-05-06,,-16533000,290959000.0,279159000.0,-14677000.0,2298866.0
NXTC,2021-06-30,2021-08-05,,-17987000,275359000.0,263598000.0,-17435000.0,2299946.0
NXTC,2021-09-30,2021-11-04,,-17930000,257825000.0,248226000.0,-13218000.0,2300333.0
NXTC,2021-12-31,2022-03-03,,-16939000,242386000.0,233386000.0,-14313000.0,2302499.0
NXTC,2022-03-31,2022-05-05,,-20602000,222746000.0,213936000.0,-15752000.0,2308140.0
NXTC,2022-06-30,2022-08-04,,-17920000,206370000.0,198196000.0,-14903000.0,2311139.0
NXTC,2022-09-30,2022-11-03,,-18911000,189909000.0,181541000.0,-15533000.0,2311479.0
NXTC,2022-12-31,2023-03-02,,-17300000,184161000.0,167530000.0,-9814000.0,2313613.0
NXTC,2023-03-31,2023-05-04,,-16096000,167791000.0,154203000.0,-15027000.0,2313619.0
NXTC,2023-06-30,2023-08-03,,-17859000,153380000.0,138430000.0,-15027000.0,2318134.0
NXTC,2023-09-30,2023-11-02,,-14301000,139939000.0,126452000.0,-13057000.0,2319069.0
NXTC,2023-12-31,2024-03-21,,-14467000,128038000.0,114421000.0,-10683000.0,2324327.0
NXTC,2024-03-31,2024-05-02,,-17107000,115159000.0,99048000.0,-12643000.0,2324323.0
NXTC,2024-06-30,2024-08-01,,-15404000,102589000.0,85441000.0,-10077000.0,2330130.0
NXTC,2024-09-30,2024-11-07,,-11540000,90345000.0,75592000.0,-11624000.0,2330387.0
NXTC,2024-12-31,2025-03-06,,-11603000,80860000.0,65472000.0,-7003000.0,2332977.0
NXTC,2025-03-31,2025-05-01,,-10976000,67137000.0,55855000.0,,2332957.0
