ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
OAK,2020-06-30,2020-08-07,92309000.0,108219000,8623530000.0,1972309000.0,122841000.0,98677000.0
OAK,2020-09-30,2020-11-06,45582000.0,52383000,9118704000.0,2257430000.0,10077000.0,98677000.0
OAK,2020-12-31,2021-02-26,247254000.0,166016000,10394115000.0,2595335000.0,273458000.0,98680000.0
OAK,2021-03-31,2021-05-12,607751000.0,285548000,11262277000.0,2988895000.0,710456000.0,98708000.0
OAK,2021-06-30,2021-08-12,150416000.0,108912000,12095268000.0,2644736000.0,3839000.0,221345000.0
OAK,2021-09-30,2021-11-12,226162000.0,97037000,13120081000.0,3260874000.0,222031000.0,159971000.0
OAK,2021-12-31,2022-03-14,470081000.0,140163000,14397849000.0,3995896000.0,265293000.0,99031000.0
OAK,2022-03-31,2022-05-13,63030000.0,17682000,15041694000.0,4333550000.0,204482000.0,160008000.0
OAK,2022-06-30,2022-08-12,116583000.0,-14527000,14414675000.0,4145482000.0,111620000.0,102043000.0
OAK,2022-09-30,2022-11-10,59827000.0,25542000,14481255000.0,4314480000.0,-149451000.0,102043000.0
OAK,2022-12-31,2023-03-21,862262000.0,174949000,5654889000.0,4089052000.0,187195000.0,102043000.0
OAK,2023-03-31,2023-05-15,59401000.0,45758000,6107452000.0,4895094000.0,,99238000.0
OAK,2023-06-30,2023-08-11,2072000.0,494000,6511711000.0,5704661000.0,67230000.0,160116000.0
OAK,2023-09-30,2023-11-09,112449000.0,31933000,6500574000.0,5817816000.0,61426000.0,160106000.0
OAK,2023-12-31,2024-03-21,345092000.0,142992000,7555933000.0,5921454000.0,,10900000.0
OAK,2024-03-31,2024-05-10,254953000.0,83615000,8248669000.0,6044815000.0,,109199000.0
OAK,2024-06-30,2024-08-14,155106000.0,44803000,8918911000.0,5944856000.0,,160129000.0
OAK,2024-09-30,2024-11-12,140320000.0,43591000,6966464000.0,5357930000.0,,160144000.0
OAK,2024-12-31,2025-03-20,227571000.0,135515000,7073432000.0,5470448000.0,,211096000.0
OAK,2025-03-31,2025-05-14,143446000.0,-4999000,7014675000.0,5277019000.0,,160203000.0
