ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
OKTA,2020-07-31,2020-08-28,200446000.0,-60100000,3115015000.0,685197000.0,8191000.0,126319000.0
OKTA,2020-10-31,2020-12-03,217379000.0,-72764000,3170279000.0,680648000.0,42798000.0,128813000.0
OKTA,2021-01-31,2021-03-04,234316000.0,-71474000,3298797000.0,694043000.0,33244000.0,130222000.0
OKTA,2021-04-30,2021-05-27,251006000.0,-109232000,3430447000.0,682778000.0,52703000.0,127212000.0
OKTA,2021-07-31,2021-09-02,315500000.0,-276682000,8932095000.0,6042190000.0,12220000.0,127212000.0
OKTA,2021-10-31,2021-12-02,350680000.0,-221311000,8996973000.0,5984555000.0,267077000.0,153756000.0
OKTA,2022-01-31,2022-03-07,382814000.0,-240775000,9206000000.0,5922000000.0,-260000000.0,153756000.0
OKTA,2022-04-30,2022-06-03,415000000.0,-244000000,9045681000.0,5472694000.0,13000000.0,153756000.0
OKTA,2022-07-31,2022-09-01,452000000.0,-210000000,9074007000.0,5453016000.0,-22000000.0,157400000.0
OKTA,2022-10-31,2022-12-01,481000000.0,-209000000,9093736000.0,5407612000.0,8000000.0,158708000.0
OKTA,2023-01-31,2023-03-03,510000000.0,-153000000,9307000000.0,5466000000.0,73000000.0,158023000.0
OKTA,2023-04-30,2023-06-01,518000000.0,-115000000,8900000000.0,5534000000.0,,161323000.0
OKTA,2023-07-31,2023-08-31,556000000.0,-111000000,8713000000.0,5640000000.0,51000000.0,162755000.0
OKTA,2023-10-31,2023-12-01,584000000.0,-81000000,8740000000.0,5730000000.0,152000000.0,164381000.0
OKTA,2024-01-31,2024-03-01,605000000.0,-44000000,8989000000.0,5888000000.0,171000000.0,166077000.0
OKTA,2024-04-30,2024-05-30,617000000.0,-38000000,8955000000.0,5953000000.0,218000000.0,164188000.0
OKTA,2024-07-31,2024-08-29,646000000.0,27000000,9067000000.0,6133000000.0,81000000.0,174443000.0
OKTA,2024-10-31,2024-12-04,665000000.0,16000000,9010000000.0,6265000000.0,158000000.0,170673000.0
OKTA,2025-01-31,2025-03-05,682000000.0,23000000,9437000000.0,6405000000.0,285000000.0,191040000.0
OKTA,2025-04-30,2025-05-28,688000000.0,63000000,9365000000.0,6567000000.0,240000000.0,181754000.0
