ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
OLP,2020-06-30,2020-08-07,20861000.0,2284000,799590000.0,282924000.0,8068000.0,19505000.0
OLP,2020-09-30,2020-11-05,21071000.0,13725000,786730000.0,293518000.0,-11049000.0,19686000.0
OLP,2020-12-31,2021-03-12,18732000.0,3572000,776137000.0,291960000.0,4699000.0,19831000.0
OLP,2021-03-31,2021-05-06,20816000.0,2962000,768166000.0,288439000.0,11023000.0,20061000.0
OLP,2021-06-30,2021-08-05,20422000.0,23329000,753310000.0,304961000.0,-16060000.0,20187000.0
OLP,2021-09-30,2021-11-05,20436000.0,6059000,751973000.0,305099000.0,7511000.0,20273000.0
OLP,2021-12-31,2022-03-11,21066000.0,6507000,752953000.0,306278000.0,4930000.0,20571000.0
OLP,2022-03-31,2022-05-06,21556000.0,9323000,750129000.0,309850000.0,7713000.0,20541000.0
OLP,2022-06-30,2022-08-04,21472000.0,16767000,780653000.0,316102000.0,-3967000.0,20480000.0
OLP,2022-09-30,2022-11-04,21473000.0,7204000,767347000.0,315251000.0,3358000.0,20416000.0
OLP,2022-12-31,2023-03-14,27715000.0,8883000,783255000.0,316937000.0,-2150000.0,20375000.0
OLP,2023-03-31,2023-05-05,22952000.0,5386000,771143000.0,314701000.0,,20579000.0
OLP,2023-06-30,2023-08-04,22407000.0,6519000,769381000.0,312955000.0,,20642000.0
OLP,2023-09-30,2023-11-06,22546000.0,2747000,767774000.0,303117000.0,-867000.0,20596000.0
OLP,2023-12-31,2024-03-05,22741000.0,14962000,761606000.0,307745000.0,-21151000.0,20383000.0
OLP,2024-03-31,2024-05-07,22696000.0,5155000,755669000.0,306050000.0,6237000.0,20579000.0
OLP,2024-06-30,2024-08-07,21800000.0,9553000,759230000.0,308433000.0,-1358000.0,20683000.0
OLP,2024-09-30,2024-11-06,22211000.0,5177000,768846000.0,305320000.0,-10161000.0,20753000.0
OLP,2024-12-31,2025-03-06,23856000.0,10532000,766954000.0,308575000.0,-9343000.0,20796000.0
OLP,2025-03-31,2025-05-07,24171000.0,4156000,811688000.0,304332000.0,-74396000.0,20951000.0
