ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
OPRX,2020-06-30,2020-08-05,8783230.0,-1077468,56057262.0,43503026.0,118582.0,14667216.0
OPRX,2020-09-30,2020-11-09,10519191.0,-282894,55146114.0,46679214.0,-126854.0,14900971.0
OPRX,2020-12-31,2021-03-08,16426301.0,1357166,60327754.0,49973914.0,-2627324.0,15134006.0
OPRX,2021-03-31,2021-05-06,11229211.0,-637377,127570680.0,121835237.0,1581186.0,16101837.0
OPRX,2021-06-30,2021-08-04,13625639.0,352100,131623380.0,124675142.0,53992.0,16786037.0
OPRX,2021-09-30,2021-11-09,16124951.0,39894,134650806.0,126817740.0,38426.0,18198412.0
OPRX,2021-12-31,2022-02-28,20312797.0,623462,140985192.0,131379717.0,-1599688.0,19675670.0
OPRX,2022-03-31,2022-05-09,13731530.0,-3761098,138138919.0,131050845.0,4014493.0,18198412.0
OPRX,2022-06-30,2022-08-09,13978665.0,-3884714,147448264.0,140817202.0,187287.0,18122500.0
OPRX,2022-09-30,2022-11-08,15085504.0,-3466793,135873421.0,129572203.0,3425826.0,17981184.0
OPRX,2022-12-31,2023-03-10,19654457.0,-325836,134651185.0,126110777.0,2661501.0,16833872.0
OPRX,2023-03-31,2023-05-12,13003000.0,-6398000,131692540.0,123963772.0,-115000.0,17094676.0
OPRX,2023-06-30,2023-08-14,13818000.0,-4161000,121324874.0,115815159.0,-2392000.0,16992100.0
OPRX,2023-09-30,2023-11-14,16331000.0,-2865000,123929152.0,116106659.0,1439000.0,16637606.0
OPRX,2023-12-31,2024-04-15,28369000.0,-4142000,183374000.0,126553000.0,-6267000.0,17774822.0
OPRX,2024-03-31,2024-05-15,19690000.0,-6899000,176367000.0,122538000.0,2086000.0,18170108.0
OPRX,2024-06-30,2024-08-15,18812000.0,-4008000,172876000.0,121016000.0,737000.0,18257879.0
OPRX,2024-09-30,2024-11-14,21309000.0,-9124000,165199000.0,114465000.0,1773000.0,18323542.0
OPRX,2024-12-31,2025-03-20,32316000.0,-78000,171168000.0,116998000.0,431000.0,18420211.0
OPRX,2025-03-31,2025-05-13,21928000.0,-2199000,167768000.0,116270000.0,3837000.0,18590342.0
