ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
OTIS,2020-06-30,2020-07-31,3029000000.0,224000000,10441000000.0,-3576000000.0,628000000.0,434100000.0
OTIS,2020-09-30,2020-10-26,3268000000.0,266000000,10473000000.0,-3383000000.0,311000000.0,435100000.0
OTIS,2020-12-31,2021-02-05,3493000000.0,251000000,10710000000.0,-3201000000.0,238000000.0,436100000.0
OTIS,2021-03-31,2021-04-28,3408000000.0,308000000,10505000000.0,-3286000000.0,253000000.0,433700000.0
OTIS,2021-06-30,2021-07-28,3701000000.0,326000000,10857000000.0,-3254000000.0,781000000.0,433700000.0
OTIS,2021-09-30,2021-10-26,3620000000.0,331000000,10472000000.0,-3233000000.0,324000000.0,430600000.0
OTIS,2021-12-31,2022-02-04,3569000000.0,281000000,12279000000.0,-2984000000.0,236000000.0,430600000.0
OTIS,2022-03-31,2022-04-27,3414000000.0,311000000,11795000000.0,-2941000000.0,474000000.0,429100000.0
OTIS,2022-06-30,2022-07-28,3488000000.0,321000000,9913000000.0,-4752000000.0,326000000.0,424200000.0
OTIS,2022-09-30,2022-10-27,3344000000.0,324000000,9342000000.0,-4733000000.0,215000000.0,421200000.0
OTIS,2022-12-31,2023-01-27,3439000000.0,297000000,9819000000.0,-4664000000.0,430000000.0,417500000.0
OTIS,2023-03-31,2023-04-27,3346000000.0,331000000,9845000000.0,-4638000000.0,253000000.0,417800000.0
OTIS,2023-06-30,2023-07-27,3720000000.0,376000000,10135000000.0,-4625000000.0,409000000.0,416000000.0
OTIS,2023-09-30,2023-10-26,-3543000000.0,-332000000,10390000000.0,-4610000000.0,272000000.0,413700000.0
OTIS,2023-12-31,2024-02-02,10686000000.0,1031000000,10117000000.0,-4720000000.0,562000000.0,410900000.0
OTIS,2024-03-31,2024-04-25,3437000000.0,353000000,9791000000.0,-4816000000.0,140000000.0,408100000.0
OTIS,2024-06-30,2024-07-25,3601000000.0,415000000,9858000000.0,-4882000000.0,284000000.0,405500000.0
OTIS,2024-09-30,2024-10-31,-3490000000.0,-228000000,10261000000.0,-4780000000.0,363000000.0,402700000.0
OTIS,2024-12-31,2025-02-04,10713000000.0,1105000000,11316000000.0,-4728000000.0,656000000.0,401300000.0
OTIS,2025-03-31,2025-04-24,3350000000.0,243000000,11178000000.0,-4991000000.0,156000000.0,399100000.0
