ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
PCRX,2020-06-30,2020-08-06,75505000.0,-7269000,866111000.0,388148000.0,-24530000.0,42221000.0
PCRX,2020-09-30,2020-10-30,117484000.0,130119000,1220269000.0,584690000.0,32018000.0,44275000.0
PCRX,2020-12-31,2021-03-01,130974000.0,14515000,1274513000.0,619688000.0,32259000.0,45447000.0
PCRX,2021-03-31,2021-05-04,119027000.0,10369000,1287549000.0,650818000.0,-992000.0,45966000.0
PCRX,2021-06-30,2021-08-03,135590000.0,19081000,1325833000.0,687168000.0,19583000.0,45593000.0
PCRX,2021-09-30,2021-11-03,127722000.0,17660000,1356002000.0,718602000.0,47211000.0,45463000.0
PCRX,2021-12-31,2022-02-28,159194000.0,-5130000,2075353000.0,730408000.0,20884000.0,44830000.0
PCRX,2022-03-31,2022-05-04,157991000.0,6828000,1891476000.0,709576000.0,23109000.0,45463000.0
PCRX,2022-06-30,2022-08-03,169411000.0,19876000,1733988000.0,756636000.0,18071000.0,45831000.0
PCRX,2022-09-30,2022-11-03,167466000.0,-693000,1734365000.0,770123000.0,37473000.0,45831000.0
PCRX,2022-12-31,2023-02-28,171955000.0,-10102000,1681200000.0,775010000.0,36545000.0,46538000.0
PCRX,2023-03-31,2023-05-03,160341000.0,-19536000,1523418000.0,768041000.0,12563000.0,45949000.0
PCRX,2023-06-30,2023-08-02,169467000.0,25763000,1542381000.0,807975000.0,40095000.0,52054000.0
PCRX,2023-09-30,2023-11-02,163926000.0,10858000,1534462000.0,831551000.0,41044000.0,52067000.0
PCRX,2023-12-31,2024-02-29,181244000.0,24870000,1574386000.0,870130000.0,45786000.0,57846000.0
PCRX,2024-03-31,2024-05-07,167117000.0,8979000,1583321000.0,892162000.0,46265000.0,52193000.0
PCRX,2024-06-30,2024-07-30,178023000.0,18886000,1646820000.0,879278000.0,51646000.0,50539000.0
PCRX,2024-09-30,2024-11-06,168573000.0,-143466000,1521691000.0,749583000.0,49828000.0,46134000.0
PCRX,2024-12-31,2025-02-27,187253000.0,16041000,1553516000.0,778348000.0,31014000.0,46173000.0
PCRX,2025-03-31,2025-05-08,168923000.0,4812000,1586669000.0,798541000.0,26911000.0,46526000.0
