ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
PCVX,2020-06-30,2020-08-12,,-20320000,416248000.0,383210000.0,-9227000.0,11803778.0
PCVX,2020-09-30,2020-11-12,,-21018000,403816000.0,364075000.0,-13076000.0,50895358.0
PCVX,2020-12-31,2021-03-29,,-20737000,392826000.0,345843000.0,-11490000.0,51434256.0
PCVX,2021-03-31,2021-05-11,,-21220000,382351000.0,326937000.0,-14451000.0,51174978.0
PCVX,2021-06-30,2021-08-11,,-23681000,358054000.0,317025000.0,-30888000.0,51508340.0
PCVX,2021-09-30,2021-11-10,,-26617000,354068000.0,305956000.0,-30134000.0,51342585.0
PCVX,2021-12-31,2022-02-28,,171595000,324337000.0,284018000.0,-52449000.0,52187303.0
PCVX,2022-03-31,2022-05-09,,-38986000,402717000.0,359543000.0,-30615000.0,52187303.0
PCVX,2022-06-30,2022-08-08,,-48528000,411619000.0,366500000.0,-40064000.0,60818778.0
PCVX,2022-09-30,2022-11-07,,-57917000,412065000.0,359311000.0,-39391000.0,61989347.0
PCVX,2022-12-31,2023-02-27,,-78050000,1006178000.0,953613000.0,-66368000.0,84516524.0
PCVX,2023-03-31,2023-05-08,,-60462000,1008163000.0,944771000.0,-53299000.0,86206817.0
PCVX,2023-06-30,2023-08-08,,-68339000,1502819000.0,1433376000.0,-64882000.0,98057870.0
PCVX,2023-09-30,2023-11-06,,-92664000,1496057000.0,1402716000.0,-64887000.0,101668655.0
PCVX,2023-12-31,2024-02-27,,-180801000,1407917000.0,1240468000.0,-185879000.0,102697418.0
PCVX,2024-03-31,2024-05-08,,-95020000,2091305000.0,1983983000.0,-171196000.0,111690951.0
PCVX,2024-06-30,2024-08-06,,-128703000,2087267000.0,1986132000.0,-160374000.0,117256561.0
PCVX,2024-09-30,2024-11-05,,-103124000,3559746000.0,3417634000.0,-98788000.0,123693461.0
PCVX,2024-12-31,2025-02-25,,-137080000,3511318000.0,3305819000.0,-141428000.0,135348419.0
PCVX,2025-03-31,2025-05-07,,-140718000,3378103000.0,3200026000.0,-193025000.0,135690949.0
