ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
PDCO,2020-07-31,2020-09-03,1245837000.0,24407000,2646196000.0,854738000.0,-236247000.0,95843000.0
PDCO,2020-10-31,2020-12-02,1553168000.0,54060000,2789024000.0,892727000.0,-201127000.0,96415000.0
PDCO,2021-01-31,2021-03-03,1551268000.0,48759000,2850965000.0,934605000.0,-188611000.0,96953000.0
PDCO,2021-04-30,2021-06-23,1561793000.0,28755000,2751511000.0,964671000.0,-130322000.0,97445000.0
PDCO,2021-07-31,2021-09-09,1614876000.0,33996000,2741630000.0,978412347.0,-321138000.0,98255000.0
PDCO,2021-10-31,2021-12-01,1649161000.0,48330000,2902725000.0,1011982000.0,-233379000.0,98255000.0
PDCO,2022-01-31,2022-03-02,1596596000.0,57006000,2863496000.0,1044178000.0,-306110000.0,98363000.0
PDCO,2022-04-30,2022-06-29,1638772000.0,63878000,2741630000.0,1042635000.0,-158675000.0,98514000.0
PDCO,2022-07-31,2022-09-01,1523265000.0,24590000,2758368000.0,1027015000.0,-317093000.0,97794000.0
PDCO,2022-10-31,2022-12-01,1626204000.0,54073000,2880468000.0,1042108000.0,-229847000.0,97872000.0
PDCO,2023-01-31,2023-03-02,1600850000.0,53929000,2941991000.0,1102421000.0,-223699000.0,97977000.0
PDCO,2023-04-30,2023-06-21,1721152000.0,74965000,2879146000.0,1118535000.0,-48433000.0,97617000.0
PDCO,2023-07-31,2023-08-30,1576745000.0,31234000,2883631000.0,1111241000.0,-270453000.0,96190000.0
PDCO,2023-10-31,2023-11-29,1652772000.0,39958000,2889690000.0,1055089000.0,-248290000.0,95156000.0
PDCO,2024-01-31,2024-02-28,1616095000.0,47703000,2939949000.0,972165000.0,-252302000.0,92519000.0
PDCO,2024-04-30,2024-06-18,1722660000.0,67036000,2896732000.0,1001732000.0,-85959000.0,90851000.0
PDCO,2024-07-31,2024-08-28,1541742000.0,13715000,2874758000.0,952501000.0,-298477000.0,88645000.0
PDCO,2024-10-31,2024-12-05,1674375000.0,26769000,2845602000.0,963449000.0,-186393000.0,88663000.0
PDCO,2025-01-31,2025-02-26,1572411000.0,31255000,2832586000.0,989915000.0,-296625000.0,89070000.0
