ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
PFMT,2020-06-30,2020-08-12,33785000.0,-7199000,116550000.0,35033000.0,7663000.0,54267000.0
PFMT,2020-09-30,2020-11-12,36228000.0,1974000,120993000.0,37653000.0,1319000.0,54710000.0
PFMT,2020-12-31,2021-03-22,40036000.0,3720000,126227000.0,41980000.0,1887000.0,54736000.0
PFMT,2021-03-31,2021-05-17,31390000.0,-4439000,125409000.0,38167000.0,3996000.0,54813000.0
PFMT,2021-06-30,2021-08-12,32842000.0,-1522000,114539000.0,42871000.0,-4136000.0,55516000.0
PFMT,2021-09-30,2021-11-12,28582000.0,-1691000,150939000.0,84387000.0,-1269000.0,62127000.0
PFMT,2021-12-31,2022-03-16,31579000.0,-2636000,121985000.0,82423000.0,-1091000.0,69388000.0
PFMT,2022-03-31,2022-05-10,27083000.0,-1673000,121776000.0,86871000.0,-5351000.0,69873000.0
PFMT,2022-06-30,2022-08-09,25681000.0,-3169000,119859000.0,84425000.0,-1716000.0,73502000.0
PFMT,2022-09-30,2022-11-09,27178000.0,-1460000,118280000.0,83896000.0,-1029000.0,74021000.0
PFMT,2022-12-31,2023-03-17,29242000.0,-235000,118833000.0,84485000.0,-2082000.0,74352000.0
PFMT,2023-03-31,2023-05-10,25729000.0,-4221000,103638000.0,81062000.0,-3058000.0,75505000.0
PFMT,2023-06-30,2023-08-09,25485000.0,-3973000,100595000.0,77920000.0,2984000.0,75752000.0
PFMT,2023-09-30,2023-11-09,29962000.0,-580000,100710000.0,78331000.0,2865000.0,76454000.0
PFMT,2023-12-31,2024-03-13,32567000.0,1255000,99030000.0,80707000.0,-3074000.0,76913000.0
PFMT,2024-03-31,2024-05-08,27334000.0,-4017000,99238000.0,77647000.0,-3531000.0,76920000.0
PFMT,2024-06-30,2024-08-08,29362000.0,-2996000,102437000.0,75866000.0,3727000.0,76975000.0
PFMT,2024-09-30,2024-11-07,31519000.0,-2384000,101843000.0,75238000.0,-2545000.0,77748000.0
PFMT,2024-12-31,2025-03-13,34766000.0,-498000,101774000.0,76499000.0,1517000.0,78357000.0
PFMT,2025-03-31,2025-05-09,33269000.0,-81000,105365000.0,78132000.0,1454000.0,78964000.0
