ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
PII,2020-06-30,2020-07-28,1511800000.0,-235400000,4312700000.0,767400000.0,339800000.0,61600000.0
PII,2020-09-30,2020-10-27,1954600000.0,166800000,4783600000.0,964000000.0,322300000.0,62800000.0
PII,2020-12-31,2021-02-16,1409800000.0,198600000,4632700000.0,1157100000.0,270400000.0,64100000.0
PII,2021-03-31,2021-04-27,1951100000.0,134100000,4513700000.0,1078900000.0,10599999.0,63400000.0
PII,2021-06-30,2021-07-27,1911100000.0,158400000,4525200000.0,1134200000.0,75900001.0,63400000.0
PII,2021-09-30,2021-10-26,1777700000.0,114800000,4870300000.0,1225200000.0,-122300000.0,62300000.0
PII,2021-12-31,2022-02-15,1992600000.0,86400000,5047800000.0,1226300000.0,46700000.0,62300000.0
PII,2022-03-31,2022-04-26,1781500000.0,69900000,5128899999.0,1132000000.0,-104900000.0,62200000.0
PII,2022-06-30,2022-07-26,2062800000.0,-4200000,5238900000.0,1085000000.0,-71500000.0,60500000.0
PII,2022-09-30,2022-10-25,2340600000.0,186600000,5093400000.0,1019400000.0,96400000.0,60000000.0
PII,2022-12-31,2023-02-17,2404100000.0,195000000,5217900000.0,1114100000.0,282000000.0,57700000.0
PII,2023-03-31,2023-04-25,2179700000.0,113800000,5289900000.0,1154800000.0,29800000.0,58100000.0
PII,2023-06-30,2023-07-25,2216600000.0,134300000,5469600000.0,1249200000.0,111900000.0,57800000.0
PII,2023-09-30,2023-10-24,2248900000.0,151300000,5733000000.0,1335200000.0,-77400000.0,57800000.0
PII,2023-12-31,2024-02-16,2289200000.0,103400000,5516300000.0,1431100000.0,448900000.0,57100000.0
