ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
PLRX,2020-06-30,2020-08-11,3600000.0,-17001000,328803000.0,315816000.0,7486000.0,12253943.0
PLRX,2020-09-30,2020-11-10,4814000.0,-16534000,312324000.0,300346000.0,-16115000.0,35445504.0
PLRX,2020-12-31,2021-03-16,4465000.0,-19027000,295526000.0,283061000.0,-17072000.0,21344236.0
PLRX,2021-03-31,2021-05-10,2174000.0,-22856000,275254000.0,264169000.0,-13907000.0,35645205.0
PLRX,2021-06-30,2021-08-09,1789000.0,-22831000,255716000.0,243980000.0,-20042000.0,35746922.0
PLRX,2021-09-30,2021-11-09,1610000.0,-27045000,234121000.0,220440000.0,-22990000.0,35906303.0
PLRX,2021-12-31,2022-03-01,1999000.0,-24531000,221215000.0,199059000.0,-20457000.0,36087254.0
PLRX,2022-03-31,2022-05-09,1249000.0,-28100000,197022000.0,173793000.0,-21142000.0,36116440.0
PLRX,2022-06-30,2022-08-08,4989000.0,-29546000,184619000.0,147788000.0,-24650000.0,36173135.0
PLRX,2022-09-30,2022-11-08,1482000.0,-30615000,377181000.0,336994000.0,-19194000.0,46799058.0
PLRX,2022-12-31,2023-03-09,1965000.0,-35060000,350613000.0,313342000.0,-31405000.0,48974999.0
PLRX,2023-03-31,2023-05-09,1332000.0,-37548000,597881000.0,561920000.0,-30439000.0,56057603.0
PLRX,2023-06-30,2023-08-09,248000.0,-41192000,574891000.0,533065000.0,-25362000.0,59172869000.0
PLRX,2023-09-30,2023-11-09,,-41487000,540464000.0,503048000.0,-36318000.0,59688451.0
PLRX,2023-12-31,2024-02-27,0.0,-41109000,512154000.0,473576000.0,-25163000.0,58719083.0
PLRX,2024-03-31,2024-05-06,,46955000,521605000.0,437332000.0,-31763000.0,60180921.0
PLRX,2024-06-30,2024-08-07,,55854000,483730000.0,392678000.0,-46548000.0,60382796.0
PLRX,2024-09-30,2024-11-07,,57763000,445665000.0,345822000.0,-33169000.0,60730935.0
PLRX,2024-12-31,2025-03-03,,49732000,396949000.0,304081000.0,-47871000.0,60859904.0
PLRX,2025-03-31,2025-05-08,,56166000,344770000.0,257164000.0,-49126000.0,61222676.0
