ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
PLX,2020-06-30,2020-08-10,10967000.0,-4150000,71710000.0,-34764000.0,-8047000.0,32442636.0
PLX,2020-09-30,2020-10-29,10790000.0,-4437000,72310000.0,-33315000.0,-3706000.0,32863788.0
PLX,2020-12-31,2021-03-30,19495000.0,397000,67934000.0,-27037000.0,-7825000.0,33904690.0
PLX,2021-03-31,2021-05-14,11320000.0,-5475000,102792000.0,14504000.0,-10167000.0,39933972.0
PLX,2021-06-30,2021-08-16,6427000.0,-11241000,108204000.0,3841000.0,6235000.0,45436907.0
PLX,2021-09-30,2021-11-15,12054000.0,-4199000,83482000.0,213000.0,-2224000.0,45556647.0
PLX,2021-12-31,2022-03-31,8549000.0,-6667000,73665000.0,-6036000.0,-5535000.0,45633406.0
PLX,2022-03-31,2022-05-16,16085000.0,-2286000,68391000.0,-7486000.0,-6058000.0,45843563.0
PLX,2022-06-30,2022-08-15,8753000.0,-5334000,60640000.0,-9889000.0,-7484000.0,47327952.0
PLX,2022-09-30,2022-11-14,14183000.0,-3567000,56709000.0,-11514000.0,-9262000.0,49498105.0
PLX,2022-12-31,2023-02-27,8617000.0,-3740000,55787000.0,-10640000.0,-2824000.0,51219016.0
PLX,2023-03-31,2023-05-04,9588000.0,-3131000,66559000.0,1008000.0,-3155000.0,57480009.0
PLX,2023-06-30,2023-08-07,35075000.0,19339000,88417000.0,39001000.0,4830000.0,83200641.0
PLX,2023-09-30,2023-11-06,10345000.0,-1852000,87569000.0,38247000.0,-7487000.0,83782679.0
PLX,2023-12-31,2024-03-14,10486000.0,-6044000,84434000.0,33569000.0,3345000.0,105232735.0
PLX,2024-03-31,2024-05-10,3748000.0,-4595000,89825000.0,29786000.0,4061000.0,73036569.0
PLX,2024-06-30,2024-08-14,13474000.0,-2203000,91540000.0,28581000.0,-4253000.0,73308281.0
PLX,2024-09-30,2024-11-14,17959000.0,3236000,61563000.0,32437000.0,4021000.0,81217068.0
PLX,2024-12-31,2025-03-17,18218000.0,6494000,73417000.0,43211000.0,3566000.0,70228197.0
PLX,2025-03-31,2025-05-09,10113000.0,-3619000,73892000.0,45208000.0,-4989000.0,76611980.0
