ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
PLYA,2020-06-30,2020-08-06,982000.0,-87458000,2267264000.0,710558000.0,-111970000.0,130466383.0
PLYA,2020-09-30,2020-11-04,28736000.0,-78604000,2167860000.0,636937000.0,-53294000.0,134493864.0
PLYA,2020-12-31,2021-03-04,66243000.0,-73752000,2097665000.0,560822000.0,-47698000.0,134593865.0
PLYA,2021-03-31,2021-05-05,77746000.0,-69745000,2068883000.0,638706000.0,-56184000.0,160827261.0
PLYA,2021-06-30,2021-08-04,128803000.0,-7768000,2042931000.0,637372000.0,-37954000.0,164119693.0
PLYA,2021-09-30,2021-11-03,151287000.0,-12371000,2020166000.0,623953000.0,-4051000.0,164218262.0
PLYA,2021-12-31,2022-02-24,176803000.0,202000,2057576000.0,630834000.0,38250000.0,164316424.0
PLYA,2022-03-31,2022-05-05,219574000.0,42747000,2095198000.0,679597000.0,33212000.0,166888129.0
PLYA,2022-06-30,2022-08-04,221267000.0,30525000,2102589000.0,715842000.0,52119000.0,167249294.0
PLYA,2022-09-30,2022-11-03,204622000.0,-2229000,2149246000.0,713730000.0,29668000.0,167195184.0
PLYA,2022-12-31,2023-02-23,210800000.0,-14337000,2069820000.0,664862000.0,14194000.0,162938482.0
PLYA,2023-03-31,2023-05-04,273802000.0,42719000,2051761000.0,672534000.0,34956000.0,158772453.0
PLYA,2023-06-30,2023-08-03,248040000.0,20633000,2038195000.0,670803000.0,13216000.0,154192223.0
PLYA,2023-09-30,2023-11-02,213145000.0,-10504000,1940944000.0,589178000.0,-3655000.0,147795707.0
PLYA,2023-12-31,2024-02-22,242517000.0,1004000,1933725000.0,554797000.0,-1982000.0,140419853.0
PLYA,2024-03-31,2024-05-06,300635000.0,54341000,1946998000.0,586985000.0,46816000.0,138009859.0
PLYA,2024-06-30,2024-08-05,235475000.0,13170000,1900080000.0,556025000.0,-9843000.0,133867472.0
PLYA,2024-09-30,2024-11-06,183517000.0,-2734000,1817202000.0,496616000.0,-30416000.0,129603214.0
PLYA,2024-12-31,2025-02-25,218942000.0,9036000,1823088000.0,481890000.0,7156000.0,124568876.0
PLYA,2025-03-31,2025-05-05,267287000.0,43125000,1862743000.0,529727000.0,74007000.0,125178151.0
