ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
PNT,2020-06-30,2020-08-20,,-3191997,514142.0,5631.0,,90121794.0
PNT,2020-09-30,2020-11-02,,-3047250,136968118.0,132166884.0,,54181325.0
PNT,2020-12-31,2021-02-12,,-5550922,22194495.0,13480278.0,-8223505.0,38875643.0
PNT,2021-03-31,2021-05-13,,-5784421,136498092.0,130641039.0,-11153697.0,17433900.0
PNT,2021-06-30,2021-08-13,,-8804658,297462629.0,285490322.0,-11533149.0,57582025.0
PNT,2021-09-30,2021-11-12,,-17116632,277195916.0,269039068.0,-16804367.0,90121794.0
PNT,2021-12-31,2022-03-25,,-14196770,263258642.0,255213086.0,-14009727.0,130265569.0
PNT,2022-03-31,2022-05-13,,-16380574,252982257.0,239273904.0,-11431535.0,90122269.0
PNT,2022-06-30,2022-08-12,,-24580247,234244622.0,215382303.0,-22717486.0,90124295.0
PNT,2022-09-30,2022-11-14,,-24013069,325687846.0,309079832.0,-29944621.0,92401484.0
PNT,2022-12-31,2023-03-27,,163267103,578322736.0,486953793.0,234845742.0,111489976.0
PNT,2023-03-31,2023-05-15,9457264.0,-16530671,558524209.0,471779776.0,-25916108.0,105660655.0
PNT,2023-06-30,2023-08-14,4865856.0,-25410839,497774772.0,447451918.0,-81667240.0,105724215.0
PNT,2023-09-30,2023-11-13,2789993.0,-24774353,477704420.0,424192386.0,-34525661.0,105765954.0
