ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
POAI,2020-06-30,2020-08-10,182784.0,-3577378,27496401.0,11691158.0,-3881953.0,
POAI,2020-09-30,2020-11-10,480757.0,-6307726,25160978000.0,12236766000.0,-3346881.0,50114.0
POAI,2020-12-31,2021-02-10,293788.0,-11469976,13060436.0,2642681.0,-2403259.0,60008.0
POAI,2021-03-31,2021-05-12,280317.0,-3888713,39653844.0,35545087.0,-3713776.0,121772.0
POAI,2021-06-30,2021-08-11,350207.0,-2573932,56912313.0,53088086.0,-2424108.0,172025.0
POAI,2021-09-30,2021-11-10,313663.0,-5438017,51190110.0,47784906.0,-3041471.0,218130.0
POAI,2021-12-31,2022-03-31,476493.0,-7756512,43771271.0,40265684.0,-4064503.0,220119.0
POAI,2022-03-31,2022-05-12,314568.0,-3370715,40058768.0,37180494.0,-3139095.0,219558.0
POAI,2022-06-30,2022-08-11,371591.0,-10391324,36495767.0,33535397.0,-3522283.0,229770.0
POAI,2022-09-30,2022-11-10,455827.0,-4059484,33166209.0,29592878.0,-2836350.0,261411.0
POAI,2022-12-31,2023-03-21,363473.0,-7916110,25734644.0,21765892.0,-3292941.0,263055.0
POAI,2023-03-31,2023-05-15,239895.0,-3421802,25061579.0,18554385.0,-3452130.0,264672.0
POAI,2023-06-30,2023-08-10,490110.0,-3923368,20967006.0,14705057.0,-3829630.0,266567.0
