ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
POOL,2020-06-30,2020-07-31,1280846000.0,157555000,1654797000.0,486791000.0,196781000.0,40715000.0
POOL,2020-09-30,2020-10-30,1139229000.0,119098000,1587589000.0,589501000.0,163848000.0,40839000.0
POOL,2020-12-31,2021-02-25,839261000.0,59173000,1739670000.0,639470000.0,3862000.0,40951000.0
POOL,2021-03-31,2021-04-29,1060745000.0,98655000,2141693000.0,657928000.0,68274000.0,40846000.0
POOL,2021-06-30,2021-07-29,1787833000.0,259695000,2214035000.0,874748000.0,101621000.0,40761000.0
POOL,2021-09-30,2021-10-28,1411448000.0,184665000,2282233000.0,985212000.0,164947000.0,40691000.0
POOL,2021-12-31,2022-02-25,1035557000.0,107609000,3230131000.0,1071393000.0,-59010000.0,40466000.0
POOL,2022-03-31,2022-04-28,1412650000.0,179261000,3882141000.0,1174278000.0,-217268000.0,40418000.0
POOL,2022-06-30,2022-07-28,2055818000.0,307283000,3962105000.0,1229058000.0,226197000.0,40064000.0
POOL,2022-09-30,2022-10-27,1615339000.0,190055000,3688055000.0,1190878000.0,270576000.0,39580000.0
POOL,2022-12-31,2023-02-24,1095920000.0,71862000,3565437000.0,1235194000.0,161730000.0,39162000.0
POOL,2023-03-31,2023-04-27,1206774000.0,101699000,3862829000.0,1256750000.0,87633000.0,39189000.0
POOL,2023-06-30,2023-07-27,1857363000.0,232250000,3680579000.0,1458532000.0,258953000.0,39115000.0
POOL,2023-09-30,2023-10-26,1474407000.0,137843000,3430734000.0,1418226000.0,360474000.0,39023000.0
POOL,2023-12-31,2024-02-27,1003050000.0,51437000,3428068000.0,1312787000.0,121073000.0,38661000.0
POOL,2024-03-31,2024-04-29,1120810000.0,78885000,3758827000.0,1345684000.0,128404000.0,38467000.0
POOL,2024-06-30,2024-07-30,1769784000.0,192439000,3640914000.0,1423669000.0,8770000.0,38325000.0
POOL,2024-09-30,2024-10-30,1432879000.0,125701000,3367389000.0,1432471000.0,305494000.0,38187000.0
POOL,2024-12-31,2025-02-27,987479000.0,37300000,3368184000.0,1273465000.0,157042000.0,37933000.0
POOL,2025-03-31,2025-04-29,1071526000.0,53545000,3712449000.0,1238691000.0,13929000.0,37630000.0
