ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
PRIM,2020-06-30,2020-08-04,908216000.0,32959000,1953554000.0,644904000.0,58910000.0,48668000.0
PRIM,2020-09-30,2020-11-05,942700000.0,43941000,1999502000.0,683522000.0,103751000.0,48574000.0
PRIM,2020-12-31,2021-02-23,897338000.0,31820000,1969580000.0,714792000.0,115710000.0,48702000.0
PRIM,2021-03-31,2021-05-06,818329000.0,5848000,2515434000.0,901364000.0,-9014000.0,50026000.0
PRIM,2021-06-30,2021-08-04,881610000.0,36295000,2493807000.0,936490000.0,-37044000.0,54285000.0
PRIM,2021-09-30,2021-11-09,913245000.0,44056000,2597993000.0,977388000.0,3033000.0,54367000.0
PRIM,2021-12-31,2022-03-01,884448000.0,29540000,2543327000.0,990055000.0,38478000.0,53966000.0
PRIM,2022-03-31,2022-05-10,784384000.0,-1674000,2597439000.0,987764000.0,-22234000.0,53240000.0
PRIM,2022-06-30,2022-08-09,1022948000.0,50154000,2713830000.0,1032798000.0,-123510000.0,53852000.0
PRIM,2022-09-30,2022-11-08,1284128000.0,43040000,3454337000.0,1068008000.0,-12750000.0,53748000.0
PRIM,2022-12-31,2023-02-28,1329138000.0,41501000,3544020000.0,1108838000.0,182310000.0,53711000.0
PRIM,2023-03-31,2023-05-10,1256896000.0,1310000,3522720000.0,1109113000.0,-121807000.0,53944000.0
PRIM,2023-06-30,2023-08-08,1413377000.0,39032000,3722024000.0,1149538000.0,22048000.0,54324000.0
PRIM,2023-09-30,2023-11-08,1529486000.0,48144000,3803171000.0,1196808000.0,57691000.0,54351000.0
PRIM,2023-12-31,2024-02-27,1515540000.0,37614000,3827427000.0,1236092000.0,201268000.0,54385000.0
PRIM,2024-03-31,2024-05-09,1412707000.0,18943000,3954447000.0,1249405000.0,-32651000.0,54414000.0
PRIM,2024-06-30,2024-08-06,1563715000.0,49543000,4049888000.0,1299231000.0,-19039000.0,54653000.0
PRIM,2024-09-30,2024-11-05,1649086000.0,58436000,4240293000.0,1357995000.0,182267000.0,54675000.0
PRIM,2024-12-31,2025-02-25,1741292000.0,53978000,4195900000.0,1409500000.0,271937000.0,54662000.0
PRIM,2025-03-31,2025-05-06,1648112000.0,44240000,4217488000.0,1445740000.0,32994000.0,54705000.0
