ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
PRPL,2020-06-30,2020-08-14,165096000.0,-93275000,303395000.0,17469000.0,69013000.0,29277000.0
PRPL,2020-09-30,2020-11-10,187111000.0,-87013000,442630000.0,41564000.0,415000.0,44266000.0
PRPL,2020-12-31,2021-03-11,173889000.0,-73414000,554732000.0,67541000.0,-20198000.0,82606000.0
PRPL,2021-03-31,2021-05-17,186429000.0,20824000,566768000.0,157541000.0,-21745000.0,68372000.0
PRPL,2021-06-30,2021-08-09,182586000.0,2578000,579463000.0,161524000.0,6767000.0,68372000.0
PRPL,2021-09-30,2021-11-09,170781000.0,2171000,597940000.0,164850000.0,-26388000.0,67287000.0
PRPL,2021-12-31,2022-03-01,185203000.0,-22459000,642470000.0,146541000.0,-46596000.0,67287000.0
PRPL,2022-03-31,2022-05-10,143179000.0,-13502000,640949000.0,226285000.0,-57359000.0,67302000.0
PRPL,2022-06-30,2022-08-09,144109000.0,-8340000,625107000.0,219121000.0,-21500000.0,67302000.0
PRPL,2022-09-30,2022-11-09,142867000.0,1956000,686692000.0,248303000.0,14326000.0,86115000.0
PRPL,2022-12-31,2023-03-22,144305000.0,-71661000,433333000.0,175171000.0,-2401000.0,81779000.0
PRPL,2023-03-31,2023-05-10,106727000.0,-25933000,436532000.0,213875000.0,-16601000.0,98852000.0
PRPL,2023-06-30,2023-08-09,117882000.0,-40487000,400688000.0,177566000.0,-27275000.0,105079000.0
PRPL,2023-09-30,2023-11-15,139996000.0,-36004000,397973000.0,133016000.0,-21289000.0,105326000.0
PRPL,2023-12-31,2024-03-12,145936000.0,-18333000,390625000.0,115607000.0,-4732000.0,106487000.0
PRPL,2024-03-31,2024-05-07,120033000.0,-50217000,382128000.0,65716000.0,-19914000.0,106022000.0
PRPL,2024-06-30,2024-08-05,120271000.0,27000,362150000.0,66532000.0,-11069000.0,107779000.0
PRPL,2024-09-30,2024-11-04,118598000.0,-39228000,309273000.0,28013000.0,-9000.0,107508000.0
PRPL,2024-12-31,2025-03-14,128975000.0,-8479000,307845000.0,20209000.0,5612000.0,107537000.0
PRPL,2025-03-31,2025-05-06,104171000.0,-19137000,293772000.0,1330000.0,-25214000.0,107596000.0
