ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
PYPL,2020-06-30,2020-07-30,5261000000.0,1530000000,63166000000.0,17684000000.0,1580000000.0,1184000000.0
PYPL,2020-09-30,2020-11-03,5459000000.0,1021000000,65582000000.0,18527000000.0,1073000000.0,1190000000.0
PYPL,2020-12-31,2021-02-05,6116000000.0,1567000000,70379000000.0,20063000000.0,1486000000.0,1189000000.0
PYPL,2021-03-31,2021-05-06,6033000000.0,1097000000,72517000000.0,19441000000.0,1537000000.0,1190000000.0
PYPL,2021-06-30,2021-07-29,6238000000.0,1184000000,73816000000.0,20905000000.0,1060000000.0,1184000000.0
PYPL,2021-09-30,2021-11-09,6182000000.0,1087000000,74534000000.0,22090000000.0,1288000000.0,1187000000.0
PYPL,2021-12-31,2022-02-03,6918000000.0,801000000,75803000000.0,21727000000.0,1009000000.0,1187000000.0
PYPL,2022-03-31,2022-04-28,6483000000.0,509000000,75805000000.0,20603000000.0,1029000000.0,1187000000.0
PYPL,2022-06-30,2022-08-03,6806000000.0,-341000000,77810000000.0,19767000000.0,1077000000.0,1187000000.0
PYPL,2022-09-30,2022-11-04,6846000000.0,1330000000,76435000000.0,20264000000.0,1573000000.0,1158000000.0
PYPL,2022-12-31,2023-02-10,7383000000.0,921000000,78624000000.0,20274000000.0,1433000000.0,1158000000.0
PYPL,2023-03-31,2023-05-09,7040000000.0,795000000,77186000000.0,19858000000.0,1001000000.0,1134000000.0
PYPL,2023-06-30,2023-08-03,7287000000.0,1029000000,74579000000.0,19661000000.0,-311000000.0,1114000000.0
PYPL,2023-09-30,2023-11-02,7418000000.0,1020000000,76440000000.0,19740000000.0,1105000000.0,1098000000.0
PYPL,2023-12-31,2024-02-08,8026000000.0,1402000000,82166000000.0,21051000000.0,2470000000.0,1082000000.0
PYPL,2024-03-31,2024-04-30,7699000000.0,888000000,83347000000.0,20702000000.0,1763000000.0,1072000000.0
PYPL,2024-06-30,2024-07-30,7885000000.0,1128000000,84016000000.0,20622000000.0,1368000000.0,1047000000.0
PYPL,2024-09-30,2024-10-29,7847000000.0,1010000000,83511000000.0,20174000000.0,1445000000.0,1024000000.0
PYPL,2024-12-31,2025-02-04,8366000000.0,1121000000,78725000000.0,20417000000.0,2192000000.0,1013000000.0
PYPL,2025-03-31,2025-04-29,7791000000.0,1287000000,81274000000.0,20254000000.0,966000000.0,999000000.0
