ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
QRTEA,2020-06-30,2020-08-10,3422000000.0,220000000,16697000000.0,5286000000.0,954000000.0,418000000.0
QRTEA,2020-09-30,2020-11-05,3383000000.0,338000000,16792000000.0,3707000000.0,569000000.0,421000000.0
QRTEA,2020-12-31,2021-02-26,4452000000.0,658000000,16999000000.0,3733000000.0,493000000.0,428000000.0
QRTEA,2021-03-31,2021-05-07,3337000000.0,206000000,16571000000.0,3764000000.0,90000000.0,422000000.0
QRTEA,2021-06-30,2021-08-06,3504000000.0,222000000,16906000000.0,3912000000.0,372000000.0,423000000.0
QRTEA,2021-09-30,2021-11-04,3144000000.0,127000000,16960000000.0,3914000000.0,-60000000.0,423000000.0
QRTEA,2021-12-31,2022-02-25,4059000000.0,-215000000,16202000000.0,4247000000.0,387000000.0,416000000.0
QRTEA,2022-03-31,2022-05-06,2883000000.0,1000000,15808000000.0,3007000000.0,-224000000.0,416000000.0
QRTEA,2022-06-30,2022-08-05,2953000000.0,203000000,15229000000.0,3191000000.0,-64000000.0,416000000.0
QRTEA,2022-09-30,2022-11-04,2744000000.0,-2747000000,11796000000.0,1614000000.0,-333000000.0,416000000.0
QRTEA,2022-12-31,2023-03-01,3526000000.0,-51000000,12571000000.0,1791000000.0,173000000.0,436000000.0
QRTEA,2023-03-31,2023-05-05,2644000000.0,20000000,12200000000.0,1960000000.0,-128000000.0,384000000.0
QRTEA,2023-06-30,2023-08-04,2649000000.0,107000000,11799000000.0,1996000000.0,403000000.0,389000000.0
QRTEA,2023-09-30,2023-11-03,2479000000.0,1000000,11437000000.0,1963000000.0,90000000.0,389000000.0
QRTEA,2023-12-31,2024-02-28,3143000000.0,-273000000,11368000000.0,1759000000.0,244000000.0,390000000.0
QRTEA,2024-03-31,2024-05-08,2342000000.0,-1000000,10981000000.0,1623000000.0,-8000000.0,393000000.0
QRTEA,2024-06-30,2024-08-08,2407000000.0,20000000,10939000000.0,1693000000.0,213000000.0,397000000.0
QRTEA,2024-09-30,2024-11-07,2344000000.0,-23000000,10773000000.0,1751000000.0,-46000000.0,397000000.0
QRTEA,2024-12-31,2025-02-27,2944000000.0,-1286000000,9243000000.0,387000000.0,173000000.0,400000000.0
QRTEA,2025-03-31,2025-05-07,2105000000.0,-100000000,8981000000.0,379000000.0,-94000000.0,401000000.0
