ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
RCKY,2020-06-30,2020-08-06,56186000.0,2442000,201330000.0,165630000.0,2608000.0,7334000.0
RCKY,2020-09-30,2020-11-05,77785000.0,7611000,217060000.0,171432000.0,-3886000.0,7336000.0
RCKY,2020-12-31,2021-03-16,87618000.0,9723000,229091000.0,179505000.0,10249000.0,7292000.0
RCKY,2021-03-31,2021-05-06,87667000.0,4492000,449084000.0,183867000.0,1687000.0,7365000.0
RCKY,2021-06-30,2021-08-09,131602000.0,3895000,476891000.0,187096000.0,-429000.0,7439000.0
RCKY,2021-09-30,2021-11-09,125507000.0,-375000,546822000.0,186041000.0,-45606000.0,7370000.0
RCKY,2021-12-31,2022-03-15,169451000.0,12547000,624575000.0,197855000.0,-31582000.0,7172000.0
RCKY,2022-03-31,2022-05-09,167025000.0,7339000,684674000.0,204454000.0,12550000.0,7405000.0
RCKY,2022-06-30,2022-08-09,162039000.0,920000,668838000.0,204467000.0,-24682000.0,7405000.0
RCKY,2022-09-30,2022-11-08,147486000.0,5691000,640953000.0,209328000.0,-4118000.0,7349000.0
RCKY,2022-12-31,2023-03-10,138926000.0,6515000,582390000.0,215473000.0,27425000.0,7369000.0
RCKY,2023-03-31,2023-05-10,110445000.0,-398000,538981000.0,214289000.0,20373000.0,7346000.0
RCKY,2023-06-30,2023-08-09,99822000.0,-2715000,534512000.0,210728000.0,-2455000.0,7354000.0
RCKY,2023-09-30,2023-11-08,125614000.0,6827000,532731000.0,216770000.0,10284000.0,7375000.0
RCKY,2023-12-31,2024-03-15,125952000.0,6713000,479385000.0,223555000.0,41456000.0,7449000.0
RCKY,2024-03-31,2024-05-09,112906000.0,2550000,466527000.0,225295000.0,17130000.0,7450000.0
RCKY,2024-06-30,2024-08-08,98258000.0,-1243000,467874000.0,223812000.0,4615000.0,7482000.0
RCKY,2024-09-30,2024-11-12,114554000.0,5279000,475017000.0,228250000.0,3457000.0,7503000.0
RCKY,2024-12-31,2025-03-17,128054000.0,4801000,457300000.0,232224000.0,22899000.0,7483000.0
RCKY,2025-03-31,2025-05-08,114073000.0,4941000,468223000.0,236213000.0,529000.0,7493000.0
