ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
REBN,2022-06-30,2022-10-03,788476.0,-937148,4593013.0,-78965.0,-732723.0,1458443.0
REBN,2022-09-30,2022-11-14,838245.0,-920060,9151452.0,5203105.0,-961513.0,1458443.0
REBN,2022-12-31,2023-04-11,860652.0,-1132577,8457541.0,4286529.0,-1648699.0,44319425.0
REBN,2023-03-31,2023-05-11,1122321.0,-964164,8164989.0,3322365.0,-2134158.0,1521628.0
REBN,2023-06-30,2023-08-14,1518923.0,-1293642,12057562.0,2278723.0,-4566725.0,1654698.0
REBN,2023-09-30,2023-11-14,1514259.0,-748902,8440942.0,1564821.0,-4379047.0,1655146.0
REBN,2023-12-31,2024-03-28,1352636.0,-1718415,9252154.0,846406.0,-1855042.0,48090980.0
REBN,2024-03-31,2024-07-19,1518062.0,-728791,10880503.0,2571346.0,-2920890.0,1653826.0
REBN,2024-06-30,2024-08-19,1372901.0,-1316612,10529006.0,2542688.0,-1307725.0,2746605.0
REBN,2024-09-30,2024-11-19,1258929.0,-719748,9641267.0,2666264.0,-423960.0,2420628.0
REBN,2024-12-31,2025-03-31,1778641.0,-1779044,7789123.0,2602742.0,-468712.0,4766781.0
REBN,2025-03-31,2025-05-20,1693261.0,-1121102,8064577.0,415582.0,462612.0,4616591.0
