ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
REI,2020-06-30,2020-08-10,10636593.0,-135000066,847213387.0,434201937.0,-3728702.0,67980794.0
REI,2020-09-30,2020-11-09,31466544.0,-1961603,836248997.0,432806153.0,13672780.0,67980961.0
REI,2020-12-31,2021-03-16,31351673.0,-160254277,663456197.0,294765813.0,13701322.0,99092715.0
REI,2021-03-31,2021-05-10,39502532.0,-19066093,670345487.0,276151483.0,5510314.0,99092715.0
REI,2021-06-30,2021-08-09,47760102.0,-15887159,675696822.0,260696099.0,5278757.0,77441133.0
REI,2021-09-30,2021-11-09,49376176.0,14163934,678618843.0,275637494.0,4864644.0,121220748.0
REI,2021-12-31,2022-03-16,59667156.0,24112210,684157329.0,300624207.0,40106203.0,187128396.0
REI,2022-03-31,2022-05-10,68181032.0,7112043,704054538.0,309258160.0,10217054.0,123297240.0
REI,2022-06-30,2022-08-04,84961875.0,41944422,745239346.0,358007259.0,4615244.0,124004178.0
REI,2022-09-30,2022-11-10,94408948.0,75085891,1251310893.0,644029394.0,33516252.0,130597589.0
REI,2022-12-31,2023-03-09,99697682.0,14492669,1268999797.0,661103391.0,41022487.0,106873693.0
REI,2023-03-31,2023-05-03,88082912.0,32715779,1281437987.0,699242426.0,6721678.0,190138969.0
REI,2023-06-30,2023-08-03,79348573.0,28791605,1282015052.0,738840316.0,-1493012.0,195866533.0
REI,2023-09-30,2023-11-02,93681798.0,-7539222,1363308942.0,733453527.0,56813496.0,195361476.0
REI,2023-12-31,2024-03-07,99942718.0,50896479,1376496392.0,786582900.0,57917138.0,200092422.0
REI,2024-03-31,2024-05-06,94503136.0,5515377,1384683940.0,793007124.0,5683566.0,199305150.0
REI,2024-06-30,2024-08-06,99139349.0,22418994,1389753885.0,817416905.0,15302132.0,200428813.0
REI,2024-09-30,2024-11-06,89244383.0,33878424,1399765010.0,851310143.0,47719697.0,200723863.0
REI,2024-12-31,2025-03-05,83440546.0,5657519,1408099474.0,858639982.0,46413345.0,200651694.0
REI,2025-03-31,2025-05-07,79091207.0,9110738,1505610274.0,875966058.0,-3376520.0,201072594.0
