ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
RELL,2020-05-31,2020-08-03,37362000.0,-1280000,150720000.0,118660000.0,3751000.0,13135000.0
RELL,2020-08-31,2020-10-08,38812000.0,-1147000,150316000.0,119070000.0,-4075000.0,13167000.0
RELL,2020-11-30,2021-01-07,42418000.0,689000,152568000.0,119634000.0,3865000.0,13225000.0
RELL,2021-02-28,2021-04-08,45235000.0,228000,153967000.0,119585000.0,2243000.0,13280000.0
RELL,2021-05-31,2021-08-02,50472000.0,1885000,156753000.0,121560000.0,-3833000.0,13372000.0
RELL,2021-08-31,2021-10-07,53704000.0,2633000,160206000.0,122678000.0,-5710000.0,13564000.0
RELL,2021-11-30,2022-01-06,53979000.0,4122000,164849000.0,125413000.0,3861000.0,13794000.0
RELL,2022-02-28,2022-04-07,55308000.0,2887000,170686000.0,129611000.0,-1768000.0,14101000.0
RELL,2022-05-31,2022-08-01,61629000.0,8283000,179819000.0,135847000.0,2050000.0,14161000.0
RELL,2022-08-31,2022-10-06,67557000.0,6324000,187586000.0,140664000.0,-4673000.0,14384000.0
RELL,2022-11-30,2023-01-05,65905000.0,5549000,193101000.0,148088000.0,-5030000.0,14588000.0
RELL,2023-02-28,2023-04-06,70364000.0,6340000,199203000.0,154940000.0,-6490000.0,14718000.0
RELL,2023-05-31,2023-07-31,58832000.0,4120000,198048000.0,159320000.0,85000.0,14686000.0
RELL,2023-08-31,2023-10-12,52581000.0,1227000,195516000.0,160354000.0,-159000.0,12539000.0
RELL,2023-11-30,2024-01-11,44130000.0,-1797000,196488000.0,158641000.0,-1030000.0,12226000.0
RELL,2024-02-29,2024-04-11,52375000.0,750000,193605000.0,158621000.0,-3048000.0,12445000.0
RELL,2024-05-31,2024-08-05,47374000.0,-119000,192445000.0,157952000.0,6143000.0,12646000.0
RELL,2024-08-31,2024-10-10,53725000.0,586000,197863000.0,159064000.0,-937000.0,12431000.0
RELL,2024-11-30,2025-01-10,49491000.0,-751000,195225000.0,156191000.0,4574000.0,12315000.0
RELL,2025-02-28,2025-04-10,53804000.0,-2057000,189810000.0,152900000.0,-1621000.0,12333000.0
