ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
RFP,2020-06-30,2020-08-10,612000000.0,6000000,3667000000.0,1250000000.0,118000000.0,88200000.0
RFP,2020-09-30,2020-11-09,730000000.0,57000000,3678000000.0,1300000000.0,84000000.0,86200000.0
RFP,2020-12-31,2021-03-01,769000000.0,-52000000,3730000000.0,1082000000.0,138000000.0,83100000.0
RFP,2021-03-31,2021-05-10,873000000.0,87000000,3728000000.0,1187000000.0,60000000.0,81900000.0
RFP,2021-06-30,2021-08-09,1140000000.0,268000000,3828000000.0,1387000000.0,368000000.0,81900000.0
RFP,2021-09-30,2021-11-09,817000000.0,80000000,3767000000.0,1465000000.0,58000000.0,80100000.0
RFP,2021-12-31,2022-03-01,834000000.0,-128000000,3538000000.0,1517000000.0,-43000000.0,80100000.0
RFP,2022-03-31,2022-05-10,945000000.0,210000000,3764000000.0,1752000000.0,138000000.0,77600000.0
RFP,2022-06-30,2022-08-04,1058000000.0,256000000,4037000000.0,2022000000.0,258000000.0,78200000.0
RFP,2022-09-30,2022-11-03,974000000.0,87000000,4053000000.0,2119000000.0,129000000.0,78400000.0
