ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
RNA,2020-06-30,2020-08-11,1541000.0,-10556000,355355000.0,330296000.0,-7791000.0,53069000.0
RNA,2020-09-30,2020-11-10,1746000.0,-11439000,346133000.0,320164000.0,-9958000.0,53069000.0
RNA,2020-12-31,2021-03-15,2142000.0,-16275000,333898000.0,306223000.0,-13310000.0,53069000.0
RNA,2021-03-31,2021-05-12,2704000.0,-23844000,314752000.0,286116000.0,-20206000.0,53069000.0
RNA,2021-06-30,2021-08-09,2607000.0,-26353000,290523000.0,264480000.0,-28843000.0,53069000.0
RNA,2021-09-30,2021-11-09,2163000.0,-29274000,425917000.0,394877000.0,-21582000.0,53069000.0
RNA,2021-12-31,2022-03-01,1852000.0,-38538000,427580000.0,381430000.0,-27922000.0,53069000.0
RNA,2022-03-31,2022-05-10,1795000.0,-34235000,421135000.0,375708000.0,-30332000.0,53069000.0
RNA,2022-06-30,2022-08-09,2178000.0,-45690000,420801000.0,374351000.0,-36868000.0,53069000.0
RNA,2022-09-30,2022-11-08,2482000.0,-43599000,430539000.0,376982000.0,-32066000.0,53069000.0
RNA,2022-12-31,2023-02-28,2769000.0,-50471000,638800000.0,578075000.0,-40039000.0,53069000.0
RNA,2023-03-31,2023-05-09,2233000.0,-52394000,613976000.0,558915000.0,-50787000.0,70433000.0
RNA,2023-06-30,2023-08-08,2316000.0,-47025000,610784000.0,559178000.0,-50429000.0,71390000.0
RNA,2023-09-30,2023-11-08,2818000.0,-52358000,573163000.0,517468000.0,-37714000.0,74097000.0
RNA,2023-12-31,2024-02-28,2193000.0,-60443000,628555000.0,500764000.0,15638000.0,76128000.0
RNA,2024-03-31,2024-05-09,3543000.0,-68855000,951474000.0,830899000.0,-71295000.0,87212000.0
RNA,2024-06-30,2024-08-09,2045000.0,-70793000,1347425000.0,1221036000.0,-65535000.0,106928000.0
RNA,2024-09-30,2024-11-07,2336000.0,-80398000,1640771000.0,1503380000.0,-67319000.0,123375000.0
RNA,2024-12-31,2025-02-27,2973000.0,-102257000,1563895000.0,1424959000.0,-103787000.0,128813000.0
RNA,2025-03-31,2025-05-08,1573000.0,-115773000,1459075000.0,1328723000.0,-128582000.0,129232000.0
