ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
ROAD,2020-06-30,2020-08-07,217041000.0,15747000,573845000.0,367248000.0,24539000.0,51646385.0
ROAD,2020-09-30,2020-12-11,224645000.0,17552000,628114000.0,385195000.0,43579000.0,51672568.0
ROAD,2020-12-31,2021-02-05,190929000.0,7871000,604227000.0,393461000.0,-9261000.0,51673510.0
ROAD,2021-03-31,2021-05-07,179112000.0,-4935000,615758000.0,388986000.0,-14312000.0,51686652.0
ROAD,2021-06-30,2021-08-06,261656000.0,9340000,767372000.0,399673000.0,-4320000.0,51864403.0
ROAD,2021-09-30,2021-11-29,279042000.0,7901000,806620000.0,408899000.0,23715000.0,51864403.0
ROAD,2021-12-31,2022-02-04,284964000.0,5511000,872584000.0,417320000.0,-14950000.0,51916042.0
ROAD,2022-03-31,2022-05-06,243385000.0,-9418000,937575000.0,415102000.0,-12682000.0,51916042.0
ROAD,2022-06-30,2022-08-05,380272000.0,12168000,1020339000.0,430693000.0,-30141000.0,51888511.0
ROAD,2022-09-30,2022-11-22,393053000.0,13115000,1095521000.0,455879000.0,12945000.0,51957420.0
ROAD,2022-12-31,2023-02-09,341779000.0,1892000,1129004000.0,458856000.0,22518000.0,52120584.0
ROAD,2023-03-31,2023-05-09,324850000.0,-5481000,1140821000.0,452688000.0,-4665000.0,51827365.0
ROAD,2023-06-30,2023-08-08,421893000.0,21677000,1183839000.0,481100000.0,34538000.0,52293846.0
ROAD,2023-09-30,2023-11-29,475026000.0,30913000,1219665000.0,516574000.0,48909000.0,52799029.0
ROAD,2023-12-31,2024-02-09,396505000.0,9843000,1276150000.0,521159000.0,36055000.0,52430864.0
ROAD,2024-03-31,2024-05-10,371427000.0,-1124000,1313400000.0,524983000.0,-8061000.0,52615336.0
ROAD,2024-06-30,2024-08-09,517794000.0,30908000,1432096000.0,552941000.0,22824000.0,52654882.0
ROAD,2024-09-30,2024-11-25,538163000.0,29308000,1542135000.0,573740000.0,84390000.0,52580725.0
ROAD,2024-12-31,2025-02-07,561580000.0,-3051000,2567916000.0,811068000.0,15674000.0,54613070.0
ROAD,2025-03-31,2025-05-09,571650000.0,4215000,2753526000.0,807869000.0,18388000.0,55669646.0
