ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
RPD,2020-06-30,2020-08-10,98912000.0,-21466000,860411000.0,90688000.0,-757000.0,50695706.0
RPD,2020-09-30,2020-11-05,105075000.0,-25541000,866817000.0,85353000.0,7908000.0,51293210.0
RPD,2020-12-31,2021-02-26,113159000.0,-28918000,913122000.0,71536000.0,-6095000.0,52031070.0
RPD,2021-03-31,2021-05-07,117451000.0,-29845000,1222693000.0,-81225000.0,19623000.0,52904881.0
RPD,2021-06-30,2021-08-05,126421000.0,-34164000,1240309000.0,-95395000.0,7487000.0,55392383.0
RPD,2021-09-30,2021-11-04,139894000.0,-37700000,1260880000.0,-105003000.0,17284000.0,54169464.0
RPD,2021-12-31,2022-02-24,151638000.0,-44625000,1296011000.0,-125995000.0,513000.0,55976671.0
RPD,2022-03-31,2022-05-05,157384000.0,-44999000,1273870000.0,-136551000.0,7350000.0,56752295.0
RPD,2022-06-30,2022-08-04,167455000.0,-39606000,1285548000.0,-148155000.0,3278000.0,58239958.0
RPD,2022-09-30,2022-11-03,175765000.0,-28727000,1295549000.0,-142284000.0,14247000.0,58730651.0
RPD,2022-12-31,2023-02-24,184479000.0,-11385000,1358991000.0,-120074000.0,32947000.0,60485356.0
RPD,2023-03-31,2023-05-10,183174000.0,-25915000,1329459000.0,-110172000.0,3557000.0,59888119.0
RPD,2023-06-30,2023-08-09,190422000.0,-66782000,1355659000.0,-111022000.0,29886000.0,60470396.0
RPD,2023-09-30,2023-11-06,198843000.0,-76611000,1399300000.0,-161645000.0,3370000.0,61065157.0
RPD,2023-12-31,2024-02-26,205268000.0,16493000,1505348000.0,-118179000.0,63099000.0,61600676.0
RPD,2024-03-31,2024-05-08,205101000.0,1406000,1488473000.0,-86449000.0,30450000.0,74021704.0
RPD,2024-06-30,2024-08-07,207991000.0,6538000,1526593000.0,-52920000.0,32578000.0,74250360.0
RPD,2024-09-30,2024-11-07,214654000.0,15410000,1574531000.0,-6304000.0,42627000.0,74537085.0
RPD,2024-12-31,2025-02-28,216261000.0,2172000,1652034000.0,17711000.0,62590000.0,29925455.0
RPD,2025-03-31,2025-05-12,210253000.0,2105000,1644810000.0,52722000.0,28396000.0,64224415.0
