ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
RSTRF,2020-06-30,2020-08-06,1048000000.0,163000000,22016000000.0,3852000000.0,40000000.0,202000000.0
RSTRF,2020-09-30,2020-10-28,1337000000.0,223000000,22533000000.0,3915000000.0,365000000.0,202000000.0
RSTRF,2020-12-31,2021-02-23,1358000000.0,138000000,22777000000.0,3721000000.0,282000000.0,202000000.0
RSTRF,2021-03-31,2021-04-30,1260000000.0,270000000,22857000000.0,4002000000.0,251000000.0,202000000.0
RSTRF,2021-06-30,2021-07-30,1438000000.0,390000000,23241000000.0,4259000000.0,448000000.0,202000000.0
RSTRF,2021-09-30,2021-10-25,1495000000.0,328000000,22928000000.0,4108000000.0,486000000.0,202000000.0
RSTRF,2021-12-31,2022-02-23,1546000000.0,261000000,23246000000.0,3853000000.0,435000000.0,202000000.0
RSTRF,2022-03-31,2022-05-03,1451000000.0,269000000,23172000000.0,3961000000.0,224000000.0,202000000.0
RSTRF,2022-06-30,2022-08-04,1639000000.0,345000000,22754000000.0,3909000000.0,417000000.0,202000000.0
RSTRF,2022-09-30,2022-11-03,1726000000.0,529000000,22557000000.0,4039000000.0,387000000.0,202000000.0
RSTRF,2022-12-31,2023-02-22,1689000000.0,336000000,22746000000.0,4268000000.0,362000000.0,202000000.0
RSTRF,2023-03-31,2023-05-02,1590000000.0,276000000,22526000000.0,4311000000.0,77000000.0,202000000.0
RSTRF,2023-06-30,2023-08-08,1775000000.0,350000000,23133000000.0,8270000000.0,362000000.0,202000000.0
RSTRF,2023-09-30,2023-11-03,1837000000.0,363000000,23077000000.0,8715000000.0,408000000.0,202000000.0
RSTRF,2023-12-31,2024-02-22,1820000000.0,726000000,23391000000.0,4730000000.0,356000000.0,202000000.0
RSTRF,2024-03-31,2024-04-30,1739000000.0,327000000,23145000000.0,8722000000.0,122000000.0,202000000.0
RSTRF,2024-06-30,2024-08-08,2080000000.0,399000000,24849000000.0,8798000000.0,291000000.0,202000000.0
RSTRF,2024-09-30,2024-11-05,2291000000.0,356000000,25071000000.0,5039000000.0,485000000.0,204000000.0
RSTRF,2024-12-31,2025-02-21,2296000000.0,360000000,24632000000.0,4843000000.0,404000000.0,208000000.0
RSTRF,2025-03-31,2025-05-08,2109000000.0,221000000,24881000000.0,9086000000.0,54000000.0,209000000.0
