ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
RVMD,2020-06-30,2020-08-10,10025000.0,-27215000,453957000.0,360498000.0,-20465000.0,58752494.0
RVMD,2020-09-30,2020-11-12,12661000.0,-27221000,595070000.0,505070000.0,-27708000.0,64892868.0
RVMD,2020-12-31,2021-03-02,8751000.0,-34204000,567401000.0,474676000.0,-26203000.0,66553416.0
RVMD,2021-03-31,2021-05-10,10131000.0,-37176000,811651000.0,722580000.0,-40825000.0,70420076.0
RVMD,2021-06-30,2021-08-11,8698000.0,-44299000,774046000.0,685006000.0,-35393000.0,73399714.0
RVMD,2021-09-30,2021-11-10,1101000.0,-52940000,734976000.0,638204000.0,-37042000.0,73535686.0
RVMD,2021-12-31,2022-02-28,9460000.0,-52676000,737988000.0,602568000.0,-40448000.0,2141000.0
RVMD,2022-03-31,2022-05-09,7578000.0,-57647000,682774000.0,550993000.0,-57049000.0,74162363.0
RVMD,2022-06-30,2022-08-09,9116000.0,-61222000,632802000.0,498841000.0,-58242000.0,74280590.0
RVMD,2022-09-30,2022-11-07,3356000.0,-73329000,825910000.0,681419000.0,-55262000.0,84694860.0
RVMD,2022-12-31,2023-02-27,15330000.0,-56507000,811930000.0,685188000.0,-64664000.0,89368287.0
RVMD,2023-03-31,2023-05-08,7014000.0,-68098000,1073248000.0,952218000.0,-64149000.0,94831979.0
RVMD,2023-06-30,2023-08-08,3824000.0,-98298000,1073709000.0,930835000.0,-68240000.0,106884185.0
RVMD,2023-09-30,2023-11-06,,-108434000,984232000.0,837458000.0,-103032000.0,109233084.0
RVMD,2023-12-31,2024-02-26,742000.0,-161537000,2061705000.0,1826194000.0,-122880000.0,141650228.0
RVMD,2024-03-31,2024-05-08,,-116003000,1908362000.0,1725467000.0,-163727000.0,164729200.0
RVMD,2024-06-30,2024-08-07,,-133233000,1808437000.0,1618848000.0,-130566000.0,165141936.0
RVMD,2024-09-30,2024-11-06,,-156288000,1762999000.0,1566304000.0,-133939000.0,166843984.0
RVMD,2024-12-31,2025-02-26,,-194569000,2558301000.0,2265204000.0,-139512000.0,174235568.0
RVMD,2025-03-31,2025-05-07,,-213416000,2365353000.0,2078150000.0,-197701000.0,188145904.0
