ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
SABR,2020-06-30,2020-08-10,83044000.0,-442570000,6129206000.0,326022000.0,-446363000.0,275693000.0
SABR,2020-09-30,2020-11-06,278365000.0,-307433000,6415497000.0,641424000.0,-200959000.0,292392000.0
SABR,2020-12-31,2021-02-25,313714000.0,-319656000,6077722000.0,285154000.0,-200337000.0,317298000.0
SABR,2021-03-31,2021-05-04,327484000.0,-260678000,5827838000.0,31739000.0,-205808000.0,317634000.0
SABR,2021-06-30,2021-08-03,419668000.0,-245854000,5608449000.0,-159792000.0,-141828000.0,319811000.0
SABR,2021-09-30,2021-11-02,441086000.0,-235241000,5442908000.0,-355077000.0,-82861000.0,322720000.0
SABR,2021-12-31,2022-02-18,500637000.0,-186696000,5291330000.0,-499717000.0,-55269000.0,330715000.0
SABR,2022-03-31,2022-05-03,584910000.0,47406000,5314479000.0,-437705000.0,-513948000.0,323469000.0
SABR,2022-06-30,2022-08-02,657532000.0,-187387000,5176736000.0,-606582000.0,-89210000.0,326573000.0
SABR,2022-09-30,2022-11-02,663394000.0,-135376000,5019622000.0,-731996000.0,-122548000.0,328228000.0
SABR,2022-12-31,2023-02-17,631179000.0,-160091000,4962875000.0,-872827000.0,-369976000.0,328698000.0
SABR,2023-03-31,2023-05-04,742695000.0,-98934000,5026008000.0,-948984000.0,-90519000.0,328928000.0
SABR,2023-06-30,2023-08-03,737529000.0,-123931000,4924561000.0,-1068642000.0,-56859000.0,332147000.0
SABR,2023-09-30,2023-11-02,740461000.0,-208284000,4741701000.0,-1267934000.0,38987000.0,345128000.0
SABR,2023-12-31,2024-02-15,421392000.0,-96459000,4672194000.0,-1361444000.0,94840000.0,380065000.0
SABR,2024-03-31,2024-05-02,782886000.0,-71483000,4737809000.0,-1416220000.0,-95766000.0,379774000.0
SABR,2024-06-30,2024-08-01,695050000.0,-69760000,4666375000.0,-1476912000.0,27724000.0,383506000.0
SABR,2024-09-30,2024-10-31,691300000.0,-62818000,4693158000.0,-1530050000.0,7926000.0,385729000.0
SABR,2024-12-31,2025-02-20,644862000.0,-74698000,4634929000.0,-1591771000.0,50838000.0,385923000.0
SABR,2025-03-31,2025-05-07,776617000.0,35335000,4678325000.0,-1546553000.0,-88853000.0,455260000.0
