ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
SAMG,2020-06-30,2020-08-03,24021000.0,490000,193511000.0,100418000.0,10504000.0,9520655.0
SAMG,2020-09-30,2020-11-05,27182000.0,2059000,201246000.0,100913000.0,14438000.0,9540604.0
SAMG,2020-12-31,2021-03-04,28415000.0,1879000,213804000.0,103399000.0,16568000.0,9585549.0
SAMG,2021-03-31,2021-05-06,31237000.0,2548000,192221000.0,105134000.0,-15736000.0,9660007.0
SAMG,2021-06-30,2021-07-29,33101000.0,3335000,202762000.0,105978000.0,17291000.0,9678466.0
SAMG,2021-09-30,2021-11-04,33461000.0,3723000,212912000.0,109825000.0,19458000.0,9691103.0
SAMG,2021-12-31,2022-03-02,33804000.0,5083000,229318000.0,116808000.0,21496000.0,9731660.0
SAMG,2022-03-31,2022-05-05,33510000.0,7568000,197903000.0,125223000.0,-23588000.0,9891148.0
SAMG,2022-06-30,2022-07-28,32173000.0,5772000,207309000.0,129732000.0,16737000.0,9913437.0
SAMG,2022-09-30,2022-11-03,29042000.0,3433000,205089000.0,127971000.0,13876000.0,9847131.0
SAMG,2022-12-31,2023-03-02,28492000.0,2057000,212675000.0,125832000.0,13991000.0,9635047.0
SAMG,2023-03-31,2023-05-04,29430000.0,3204000,178613000.0,124044000.0,-26583000.0,9577901.0
SAMG,2023-06-30,2023-07-27,29734000.0,3085000,182540000.0,122172000.0,14048000.0,9480079.0
SAMG,2023-09-30,2023-11-03,29704000.0,3216000,191291000.0,123891000.0,15428000.0,9378479.0
SAMG,2023-12-31,2024-03-07,28542000.0,-411000,199574000.0,121810000.0,14204000.0,9420897.0
SAMG,2024-03-31,2024-05-02,30272000.0,3000000,170175000.0,122050000.0,-24691000.0,9515581.0
SAMG,2024-06-30,2024-08-01,30993000.0,2665000,177585000.0,123505000.0,15627000.0,9547879.0
SAMG,2024-09-30,2024-10-31,30424000.0,2252000,184170000.0,122878000.0,12910000.0,9579172.0
SAMG,2024-12-31,2025-03-06,31962000.0,1618000,194432000.0,119693000.0,16026000.0,9487453.0
SAMG,2025-03-31,2025-05-08,31392000.0,2469000,159926000.0,116692000.0,-25463000.0,9618888.0
