ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
SAVE,2020-06-30,2020-07-22,138529000.0,-144428000,7767944000.0,2343162000.0,-180803000.0,79601000.0
SAVE,2020-09-30,2020-10-28,401922000.0,-99140000,8557294000.0,2404103000.0,-133571000.0,92731000.0
SAVE,2020-12-31,2021-02-10,498490000.0,-157304000,8398825000.0,2249695000.0,-143486000.0,97915000.0
SAVE,2021-03-31,2021-04-21,461279000.0,-112321000,8387735000.0,2092989000.0,147211000.0,97775000.0
SAVE,2021-06-30,2021-07-28,859309000.0,-287863000,8671483000.0,2180807000.0,249751000.0,97775000.0
SAVE,2021-09-30,2021-10-27,922631000.0,14774000,8537349000.0,2198824000.0,-252054000.0,105000000.0
SAVE,2021-12-31,2022-02-08,987556000.0,-87159000,8540025000.0,2114035000.0,-358675000.0,105000000.0
SAVE,2022-03-31,2022-05-04,967315000.0,-194703000,8611717000.0,1921376000.0,-27795000.0,108410000.0
SAVE,2022-06-30,2022-08-09,1366643000.0,-52406000,8715023000.0,1873215000.0,8291000.0,108581000.0
SAVE,2022-09-30,2022-10-26,1343179000.0,-36377000,8685495000.0,1839777000.0,-187505000.0,108697000.0
SAVE,2022-12-31,2023-02-06,1391310000.0,-270664000,9184774000.0,1571651000.0,-30575000.0,94312000.0
SAVE,2023-03-31,2023-04-26,1349774000.0,-103911000,9322317000.0,1469846000.0,104109000.0,109110000.0
SAVE,2023-06-30,2023-08-03,1432472000.0,-2349000,9372127000.0,1471072000.0,-68225000.0,109161000.0
SAVE,2023-09-30,2023-10-26,1258543000.0,-157552000,9361550000.0,1316045000.0,-344632000.0,109164000.0
SAVE,2023-12-31,2024-02-09,1321760000.0,-183652000,9417237000.0,1134342000.0,-180976000.0,109173000.0
SAVE,2024-03-31,2024-05-06,1265537000.0,-142635000,9526495000.0,1002257000.0,-209572000.0,109430000.0
SAVE,2024-06-30,2024-08-01,1280889000.0,-192927000,9559456000.0,809662000.0,-159615000.0,109506000.0
SAVE,2024-09-30,2024-11-25,1197104000.0,-308243000,9493049000.0,503749000.0,-394582000.0,109521000.0
SAVE,2024-12-31,2025-03-03,1169891000.0,-585690000,9595178000.0,-80134000.0,565381000.0,109523000.0
SAVE,2025-03-31,2025-05-30,755354000.0,72216000,8910118000.0,723413000.0,,19685000.0
