ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
SBRA,2020-06-30,2020-08-05,153917000.0,29623000,6023553000.0,3361251000.0,60204000.0,206219162.0
SBRA,2020-09-30,2020-11-05,143252000.0,36460000,5991618000.0,3364340000.0,84301000.0,206727167.0
SBRA,2020-12-31,2021-02-22,152054000.0,37117000,5985603000.0,3409228000.0,74459000.0,210058706.0
SBRA,2021-03-31,2021-05-05,152365000.0,33447000,5963838000.0,3503404000.0,29044000.0,212624305.0
SBRA,2021-06-30,2021-08-04,152932000.0,-132573000,5822141000.0,3383063000.0,39379000.0,216264207.0
SBRA,2021-09-30,2021-11-03,128591000.0,10223000,6209546000.0,3329100000.0,98642000.0,222063910.0
SBRA,2021-12-31,2022-02-22,135657000.0,-24353000,5966707000.0,3379530000.0,47226000.0,225339686.0
SBRA,2022-03-31,2022-05-04,163105000.0,40602000,5884932000.0,3361523000.0,31738000.0,231564970.0
SBRA,2022-06-30,2022-08-03,155957000.0,16805000,5961432000.0,3317726000.0,67877000.0,231681536.0
SBRA,2022-09-30,2022-11-07,140764000.0,-50064000,5844915000.0,3208733000.0,30737000.0,230982227.0
SBRA,2022-12-31,2023-02-21,164985000.0,-84948000,5747672000.0,3056395000.0,38704000.0,230982197.0
SBRA,2023-03-31,2023-05-03,161324000.0,-9487000,5556311000.0,2976227000.0,9119000.0,231164876.0
SBRA,2023-06-30,2023-08-07,161166000.0,21188000,5524330000.0,2943744000.0,51874000.0,232244588.0
SBRA,2023-09-30,2023-11-06,161627000.0,-15101000,5380562000.0,2868853000.0,57417000.0,231224692.0
SBRA,2023-12-31,2024-02-27,163397000.0,17156000,5386150000.0,2802534000.0,-18362000.0,231219465.0
SBRA,2024-03-31,2024-05-08,166747000.0,26254000,5374438000.0,2767174000.0,39860000.0,233365031.0
SBRA,2024-06-30,2024-08-07,176141000.0,23975000,5351116000.0,2761975000.0,31575000.0,233750823.0
SBRA,2024-09-30,2024-10-31,178001000.0,29788000,5366126000.0,2744844000.0,-36874000.0,237043400.0
SBRA,2024-12-31,2025-02-19,182346000.0,46695000,5303679000.0,2741288000.0,40240000.0,240024194.0
SBRA,2025-03-31,2025-05-05,183543000.0,40304000,5233198000.0,2702232000.0,64626000.0,240295817.0
