ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
SBUX,2020-06-30,2020-07-28,4222100000.0,-678400000,29140600000.0,-8624300000.0,-747800000.0,1168500000.0
SBUX,2020-09-30,2020-11-12,6203100000.0,392600000,29374500000.0,-7799400000.0,1145500000.0,1187000000.0
SBUX,2020-12-31,2021-01-26,6749400000.0,622200000,29968400000.0,-7904000000.0,1511500000.0,1183000000.0
SBUX,2021-03-31,2021-04-27,6668000000.0,659400000,28371700000.0,-7648300000.0,560099999.0,1184800000.0
SBUX,2021-06-30,2021-07-27,7496500000.0,1153400000,29476799999.0,-6794300000.0,1411100001.0,1183900000.0
SBUX,2021-09-30,2021-11-19,8146700000.0,1764400000,31392600000.0,-5314500000.0,1036400000.0,1187900000.0
SBUX,2021-12-31,2022-02-01,8050400000.0,815900000,28833899999.0,-8450300000.0,1454100000.0,1187900000.0
SBUX,2022-03-31,2022-05-03,7635600000.0,674500000,29021500000.0,-8761200000.0,-293200000.0,1187900000.0
SBUX,2022-06-30,2022-08-02,8150100000.0,912900000,28156200000.0,-8658900000.0,841300000.0,1151000000.0
SBUX,2022-09-30,2022-11-18,8414200000.0,878300000,27978400000.0,-8698700000.0,553800000.0,1158500000.0
SBUX,2022-12-31,2023-02-02,8713900000.0,855200000,28256100000.0,-8665900000.0,1076400000.0,1152900000.0
SBUX,2023-03-31,2023-05-02,8719800000.0,908300000,28609000000.0,-8499400000.0,392400000.0,1152700000.0
SBUX,2023-06-30,2023-08-01,9168300000.0,1141700000,28733000000.0,-8341600000.0,1070800000.0,1150500000.0
SBUX,2023-09-30,2023-11-17,9373600000.0,1219300000,29445500000.0,-7987800000.0,1245500000.0,1141500000.0
SBUX,2023-12-31,2024-01-30,9425300000.0,1024400000,29179700000.0,-8608900000.0,1788000000.0,1140600000.0
SBUX,2024-03-31,2024-04-30,8563000000.0,772400000,29363200000.0,-8442200000.0,-153100000.0,1135400000.0
SBUX,2024-06-30,2024-07-30,9113900000.0,1054800000,30111800000.0,-7937400000.0,945800000.0,1135800000.0
SBUX,2024-09-30,2024-11-20,9073900000.0,909200000,31339300000.0,-7441600000.0,737400000.0,1137400000.0
SBUX,2024-12-31,2025-01-28,9397800000.0,780800000,31893100000.0,-7464600000.0,1379100000.0,1138400000.0
SBUX,2025-03-31,2025-04-29,8761600000.0,384200000,31633100000.0,-7615400000.0,-297200000.0,1140000000.0
